中国概念股周二收盘涨跌互现
　　新浪科技讯 北京时间12月31日消息，美股周二强劲攀升并收于盘中高点，尾盘金融股的反弹以及政府加大对通用汽车的援助力度均对市场形成支撑。中国概念股周二收盘涨跌互现。
　　道琼斯工业平均指数上涨了184.46点，至8668.39点，涨幅为2.17%。标准普尔500指数上涨了21.22点，至890.64点，涨幅为2.44%；纳斯达克综合指数上涨了40.38点，至1550.70点，涨幅为2.67%。
　　受大盘影响，中国概念股周一收盘涨跌互现。其中，受周一宣布5千万美元股票回购计划影响，航美传媒(Nasdaq:AMCN)大涨21.72%。 
　　股票名称 股价 涨跌幅 
　　新浪 22.890 -0.780% 
　　网易 22.100 2.790% 
　　搜狐 46.220 2.800% 
　　百度 126.930 4.170% 
　　分众传媒 8.800 1.150% 
　　盛大网络 30.750 1.990% 
　　巨人网络 6.100 0.830% 
　　第九城市 13.680 5.470% 
　　完美时空 16.680 0.540% 
　　携程网 22.340 3.860% 
　　金融界 7.050 1.150% 
　　艺龙 7.240 1.260% 
　　前程无忧 6.260 -1.570% 
　　灵通网 1.140 0.880% 
　　空中网 3.430 6.190% 
　　华友世纪 1.760 -9.740% 
　　易居中国 7.680 0.660% 
　　如家快捷 8.600 1.300% 
　　新东方 53.800 4.750% 
　　正保远程教育 3.600 -3.740% 
　　华视传媒 5.050 -3.810% 
　　航美传媒 5.100 21.720% 
　　新华财经传媒 0.550 0.000% 
　　永新视博 7.730 7.210% 
　　UT斯达康 1.780 5.330% 
　　展讯通信 0.890 7.230% 
　　亚信 11.330 1.980% 
　　中芯国际 2.220 8.820% 
　　中星微 2.200 13.990% 
　　珠海炬力 1.700 8.970% 
　　侨兴环球 1.900 9.200% 
　　德信无线 1.050 3.960% 
　　无锡尚德 11.890 11.230% 
　　文思信息 4.700 1.950% 
　　诺亚舟 3.250 8.330% 
　　CDC 1.110 4.720% 


