美股攀升中国概念股周五涨跌互现
　　新浪科技讯 北京时间11月8日早消息，尽管就业报告不佳，但投资者在连续两个交易日大幅下跌后又回到市场寻找被低估的股票。周五道指上涨2.9%，纳指涨2.4%，标准普尔500指数上涨了2.9%。中国概念股周五收盘涨跌互现。
　　道琼斯工业平均指数上涨了248.10点，至8943.89点，涨幅为2.85%，道指30种成份股中共有26只股票上涨；标准普尔500指数上涨了25.87点，至930.75点，涨幅为2.86%；纳斯达克综合指数上涨了38.70点，至1647.40点，涨幅为2.41%。中国概念股周五收盘涨跌互现，其中航美传媒大跌18.6%，无锡尚德大涨21.460%，前程无忧大涨18.2%。
　　股票名称 股价 涨跌幅 
　　新浪 31.000 2.340% 
　　网易 21.720 1.780% 
　　搜狐 51.810 0.720% 
　　百度 218.000 3.980% 
　　分众传媒 16.270 -0.180% 
　　盛大网络 24.660 1.900% 
　　巨人网络 6.670 2.300% 
　　第九城市 13.000 0.600% 
　　完美时空 18.060 5.990% 
　　携程网 28.390 2.970% 
　　金融界 8.540 2.890% 
　　艺龙 7.200 0.700% 
　　前程无忧 7.340 18.200% 
　　灵通网 0.900 -2.180% 
　　空中网 3.270 -0.610% 
　　华友世纪 2.000 1.520% 
　　易居中国 5.240 -2.420% 
　　如家快捷 9.620 0.210% 
　　新东方 54.990 1.760% 
　　正保远程教育 4.050 0.000% 
　　华视传媒 5.710 0.530% 
　　航美传媒 4.900 -18.600% 
　　新华财经传媒 1.190 -0.830% 
　　永新视博 5.780 -1.370% 
　　UT斯达康 1.970 2.600% 
　　展讯通信 1.210 -9.700% 
　　亚信 10.920 3.020% 
　　中芯国际 1.070 0.000% 
　　中星微 2.150 3.370% 
　　珠海炬力 1.810 -2.160% 
　　侨兴环球 2.110 0.000% 
　　德信无线 0.920 0.010% 
　　无锡尚德 14.600 21.460% 
　　文思信息 7.030 2.630% 
　　诺亚舟 2.530 1.610% 
　　CDC 1.150 -2.540% 

　　新浪科技讯 北京时间11月8日早消息，尽管就业报告不佳，但投资者在连续两个交易日大幅下跌后又回到市场寻找被低估的股票。周五道指上涨2.9%，纳指涨2.4%，标准普尔500指数上涨了2.9%。中国概念股周五收盘涨跌互现。
　　道琼斯工业平均指数上涨了248.10点，至8943.89点，涨幅为2.85%，道指30种成份股中共有26只股票上涨；标准普尔500指数上涨了25.87点，至930.75点，涨幅为2.86%；纳斯达克综合指数上涨了38.70点，至1647.40点，涨幅为2.41%。中国概念股周五收盘涨跌互现，其中航美传媒大跌18.6%，无锡尚德大涨21.460%，前程无忧大涨18.2%。
　　股票名称 股价 涨跌幅 
　　新浪 31.000 2.340% 
　　网易 21.720 1.780% 
　　搜狐 51.810 0.720% 
　　百度 218.000 3.980% 
　　分众传媒 16.270 -0.180% 
　　盛大网络 24.660 1.900% 
　　巨人网络 6.670 2.300% 
　　第九城市 13.000 0.600% 
　　完美时空 18.060 5.990% 
　　携程网 28.390 2.970% 
　　金融界 8.540 2.890% 
　　艺龙 7.200 0.700% 
　　前程无忧 7.340 18.200% 
　　灵通网 0.900 -2.180% 
　　空中网 3.270 -0.610% 
　　华友世纪 2.000 1.520% 
　　易居中国 5.240 -2.420% 
　　如家快捷 9.620 0.210% 
　　新东方 54.990 1.760% 
　　正保远程教育 4.050 0.000% 
　　华视传媒 5.710 0.530% 
　　航美传媒 4.900 -18.600% 
　　新华财经传媒 1.190 -0.830% 
　　永新视博 5.780 -1.370% 
　　UT斯达康 1.970 2.600% 
　　展讯通信 1.210 -9.700% 
　　亚信 10.920 3.020% 
　　中芯国际 1.070 0.000% 
　　中星微 2.150 3.370% 
　　珠海炬力 1.810 -2.160% 
　　侨兴环球 2.110 0.000% 
　　德信无线 0.920 0.010% 
　　无锡尚德 14.600 21.460% 
　　文思信息 7.030 2.630% 
　　诺亚舟 2.530 1.610% 
　　CDC 1.150 -2.540% 


