中国概念股周三多数上涨 艺龙大涨8.33%
　　新浪科技讯 北京时间11月18日凌晨消息，周三美国股市收盘涨跌不一。欧盟正在努力避免爱尔兰金融危机蔓延；美国通货膨胀率低于预期，使美联储的购买国债计划得到支持。中国概念股今日多数上涨，新浪涨5.84%，艺龙涨8.33%、新华悦动传媒涨7.96%；无锡尚德因第三季度财报不及华尔街分析师预期大跌9.71%。
　　美东时间11月17日16:00(北京时间11月18日05:00)，道琼斯工业平均指数下跌15.62点，收于11,007.88点，跌幅0.14%；纳斯达克综合指数上涨6.17点，收于2,476.01点，涨幅0.25%；标准普尔500指数上涨0.26点，收于1,178.60点，涨幅0.02%。
　　中国概念股周三多数上涨。新浪涨5.84%，报60.32美元；艺龙涨8.33%，报20.28美元；新华悦动传媒涨7.96%，报0.27美元；无锡尚德因财报不及华尔街分析师预期大跌9.71%，报7.53美元。
　　股票　最新价　涨跌幅
　　新浪　60.32　5.84%
　　CRIC　9.56　-2.45%
　　网易　40.92　3.33%
　　搜狐　74.02　2.41%
　　百度　106.93　3.21%
　　分众传媒　23.76　0.42%
　　盛大　40.06　-0.64%
　　盛大游戏　6.04　-4.13%
　　巨人网络　7.02　2.18%
　　畅游　31.29　1.43%
　　第九城市　6.43　4.05%
　　完美时空　25.72　-1.19%
　　携程网　45.9　1.15%
　　金融界　8.19　-0.73%
　　艺龙　20.28　8.33%
　　前程无忧　47.13　4.59%
　　掌上灵通　1.42　0.71%
　　空中网　7.52　0.80%
　　酷6传媒　5.28　-0.83%
　　易居中国　14.83　1.58%
　　如家快捷　48.06　-0.41%
　　7天连锁　22.18　-1.99%
　　新东方　108.63　2.72%
　　正保远程教育　5.09　0.79%
　　华视传媒　3.63　5.22%
　　航美传媒　7.41　-0.80%
　　新华悦动传媒　0.25　0.00%
　　永新视博　7.25　6.46%
　　UT斯达康　2.14　0.94%
　　展讯通信　15.36　3.23%
　　亚信科技　18.52　0.98%
　　中芯国际　3.73　1.08%
　　中星微电子　3.62　0.28%
　　炬力　2.1　0.96%
　　侨兴环球　1.71　-2.29%
　　德信无线　4.04　0.50%
　　无锡尚德　7.53　-9.71%
　　文思信息　34.5　0.23%
　　诺亚舟　1.94　-0.51%
　　中华网　4.2　3.45%
　　CDC软件　6.92　1.91%
　　侨兴移动　3.65　-2.41%
　　国人通信　3　0.00%
　　汉庭连锁酒店　23.44　4.64%
　　大华建设　0.71　-6.58%
　　搜房网　76.02　-0.89%
　　蓝汛　26.95　3.73%
　　高德软件　20.24　2.33%
　　麦考林　14.58　-5.39%

