中国互联网公司周三股价多数下跌
　　新浪科技讯 北京时间3月4日凌晨消息 受美联储经济景气状况褐皮书影响，周三美国股市走软，收盘基本持平。受此影响，中国互联网公司周三股价多数下跌。
　　美东时间周三16:00(北京时间3月4日05:00)，道琼斯工业平均指数下跌9.22点，收于10,396.76点，跌幅0.09%；纳斯达克综合指数下跌0.11点，收于2,280.68点，跌幅0.00%；标准普尔500指数上涨0.48点，收于1,118.79点，涨幅0.04%。
　　股票名称		最新价		涨跌幅
　　新浪		37.49		-1.68%
　　CRIC		9.58		-5.34%
　　网易		37.08		-1.85%
　　搜狐		50.01		-0.60%
　　百度		517.02		-0.36%
　　分众传媒		14.91		-6.17%
　　盛大		38.55		-1.98%
　　盛大游戏		6.82		6.40%
　　巨人网络		7.38		-0.94%
　　畅游		31.36		-1.72%
　　第九城市		6.78		-1.31%
　　完美时空		36.32		1.94%
　　携程网		36.42		-3.98%
　　金融界		7.18		0.42%
　　艺龙		10.99		-2.74%
　　前程无忧		18.17		-1.52%
　　掌上灵通		1.66		0.14%
　　空中网		7.82		-2.98%
　　华友世纪		3.44		-1.99%
　　易居中国		18.49		-0.32%
　　如家快捷		35.59		-1.47%
　　7天连锁		12.78		0.24%
　　新东方		78.28		-0.82%
　　正保远程教育		5.88		-2.65%
　　华视传媒		5.09		-37.93%
　　航美传媒		7.76		15.82%
　　新华悦动传媒		0.61		-2.38%
　　永新视博		7.32		-2.66%
　　UT斯达康		2.06		-3.74%
　　展讯通信		6.75		0.75%
　　亚信科技		27.61		3.84%
　　中芯国际		4.98		-6.39%
　　中星微电子		4.36		-0.23%
　　炬力		2.32		1.31%
　　侨兴环球		1.97		2.87%
　　德信无线		3.01		-2.27%
　　无锡尚德		13.68		0.66%
　　文思信息		21.06		1.20%
　　诺亚舟		4.62		0.22%
　　中华网		2.56		-0.39%
　　CDC软件		10.33		1.27%
　　侨兴移动		2.45		-2.78%
　　国人通信		3.46		2.37%

