中国概念股周四普遍上涨 27只股票涨幅超过5%
　　新浪科技讯 北京时间10月7日凌晨消息，周四美股收高，至此大盘已是三连阳。欧洲央行将重组银行资产以防债务危机蔓延、美国上周首次申请失业救济人数增幅低于预期，均使投资者感到鼓舞。纳斯达克综合指数上涨1.88%，中国概念股普遍上涨，27只股票涨幅超过5%，其中7只股票涨幅超过10%。优酷和当当大涨16%，土豆大涨12.50%，侨兴移动12.88%，网秦大涨11.25%，第九城市大涨11.82%，搜房大涨11.02%。
　　畅游、百度、亚信、侨兴环球、人人、淘米等6只股票涨幅在8%至10%之间。
　　搜狐、分众传媒、网易、完美世界、空中网、酷6传媒、携程、文思信息、蓝汛通信、斯凯网络、奇虎360、世纪佳缘、凤凰新媒体、新东方等14只股票涨幅在5%至8%之间。
　　另外，航美传媒逆市跌6.8%。
　　美东时间10月6日16:00(北京时间10月7日04:00)，道琼斯工业平均指数上涨183.38点，收于11,123.33点，涨幅1.68%；纳斯达克综合指数上涨46.31点，收于2,506.82点，涨幅1.88%；标准普尔500指数上涨20.94点，收于1,164.97点，涨幅1.83%。
　　股票 最新价 涨跌幅
　　新浪 78.78 2.89%
　　CRIC 4.3 0.23%
　　网易 41.3 6.99%
　　搜狐 56.08 6.41%
　　百度 120.89 8.74%
　　分众传媒 22.81 7.14%
　　盛大 33.82 4.38%
　　盛大游戏 4.1 -0.97%
　　巨人网络 3.45 1.77%
　　畅游 28.65 8.28%
　　第九城市 3.31 11.82%
　　完美世界 12.43 5.79%
　　携程网 35.25 5.44%
　　金融界 1.77 -2.21%
　　艺龙 16.95 2.73%
　　前程无忧 41.58 -0.72%
　　掌上灵通 0.76 -1.30%
　　空中网 4.16 6.12%
　　酷6传媒 2.03 6.84%
　　易居中国 5.4 0.00%
　　华视传媒 1.46 0.00%
　　航美传媒 2.33 -6.80%
　　UT斯达康 0.96 3.49%
　　展讯通信 19.05 -0.37%
　　亚信科技 8.76 9.09%
　　中芯国际 2.4 -1.64%
　　中星微电子 1.33 1.53%
　　炬力 1.98 0.00%
　　侨兴环球 0.78 12.88%
　　泰克飞石 1.88 0.53%
　　文思信息 8.56 7.81%
　　诺亚舟 1.56 -1.27%
　　中华网 0.42 0.00%
　　CDC软件 1.77 -41.97%
　　侨兴移动 1.02 9.93%
　　国人通信 1.8 4.65%
　　联游网络 0.51 -2.86%
　　BCD半导体 5.29 0.00%
　　学而思 10.47 2.35%
　　学大教育 2.85 1.42%
　　正保远程教育 2.1 4.69%
　　新东方 27.44 7.95%
　　搜房网 10.48 11.02%
　　蓝汛 4.41 7.56%
　　高德软件 13.82 3.60%
　　麦考林 1.43 3.62%
　　优酷网 19.18 16.38%
　　当当网 5.72 16.02%
　　斯凯 3.72 7.83%
　　软通动力 6.98 3.25%
　　创博国际 2 0.00%
　　海辉软件 8.96 -0.33%
　　奇虎360 16.72 5.76%
　　世纪互联 10.57 0.62%
　　人人公司 5.49 9.36%
　　网秦 4.35 11.25%
　　世纪佳缘 8.75 7.36%
　　凤凰新媒体 5.5 5.36%
　　淘米 6 9.69%
　　土豆网 14.05 12.26%

