中国概念股周五开盘几乎全线大跌
　　新浪科技讯 北京时间10月10日消息，美股周五大幅低开，投资者担心信贷市场危机将带来全球经济衰退。道指已连续第八个交易日下滑。受此影响，中国概念股周五开盘全线大跌。
　　道琼斯工业平均指数下跌了503.38点，至8075.81点；标准普尔500指数下跌了41.37点，至868.55点，纳斯达克综合指数下跌了69.93点，至1575.19点。
　　股票名称 股价 涨跌幅 
　　新浪 31.530 -3.010% 
　　网易 19.040 -3.150% 
　　搜狐 48.490 1.170% 
　　百度 212.930 3.270% 
　　分众传媒 18.960 -2.820% 
　　盛大网络 24.250 -3.080% 
　　巨人网络 5.650 -1.570% 
　　第九城市 14.620 -3.750% 
　　完美时空 17.900 -5.240% 
　　携程网 35.210 0.170% 
　　金融界 8.570 -6.340% 
　　艺龙 6.660 0.000% 
　　前程无忧 8.000 -5.880% 
　　灵通网 0.840 -14.290% 
　　空中网 2.450 -1.210% 
　　华友世纪 2.500 -3.470% 
　　易居中国 5.180 -1.330% 
　　如家快捷 9.630 -17.970% 
　　新东方 52.060 -5.350% 
　　正保远程教育 4.250 0.000% 
　　华视传媒 10.460 -5.170% 
　　航美传媒 6.160 -10.600% 
　　新华财经传媒 1.010 -4.720% 
　　永新视博 7.250 -3.200% 
　　UT斯达康 2.210 2.790% 
　　展讯通信 1.410 -11.880% 
　　亚信 7.790 -0.890% 
　　中芯国际 1.140 -6.560% 
　　中星微 1.500 -5.660% 
　　珠海炬力 1.940 -3.000% 
　　侨兴环球 1.640 -1.940% 
　　德信无线 0.820 -4.090% 
　　无锡尚德 22.890 -2.100% 
　　文思信息 5.360 -4.110% 
　　诺亚舟 3.170 0.000% 
　　深圳迈瑞 28.300 -5.850% 
　　CDC 1.250 -6.020% 

　　新浪科技讯 北京时间10月10日消息，美股周五大幅低开，投资者担心信贷市场危机将带来全球经济衰退。道指已连续第八个交易日下滑。受此影响，中国概念股周五开盘全线大跌。
　　道琼斯工业平均指数下跌了503.38点，至8075.81点；标准普尔500指数下跌了41.37点，至868.55点，纳斯达克综合指数下跌了69.93点，至1575.19点。
　　股票名称 股价 涨跌幅 
　　新浪 31.530 -3.010% 
　　网易 19.040 -3.150% 
　　搜狐 48.490 1.170% 
　　百度 212.930 3.270% 
　　分众传媒 18.960 -2.820% 
　　盛大网络 24.250 -3.080% 
　　巨人网络 5.650 -1.570% 
　　第九城市 14.620 -3.750% 
　　完美时空 17.900 -5.240% 
　　携程网 35.210 0.170% 
　　金融界 8.570 -6.340% 
　　艺龙 6.660 0.000% 
　　前程无忧 8.000 -5.880% 
　　灵通网 0.840 -14.290% 
　　空中网 2.450 -1.210% 
　　华友世纪 2.500 -3.470% 
　　易居中国 5.180 -1.330% 
　　如家快捷 9.630 -17.970% 
　　新东方 52.060 -5.350% 
　　正保远程教育 4.250 0.000% 
　　华视传媒 10.460 -5.170% 
　　航美传媒 6.160 -10.600% 
　　新华财经传媒 1.010 -4.720% 
　　永新视博 7.250 -3.200% 
　　UT斯达康 2.210 2.790% 
　　展讯通信 1.410 -11.880% 
　　亚信 7.790 -0.890% 
　　中芯国际 1.140 -6.560% 
　　中星微 1.500 -5.660% 
　　珠海炬力 1.940 -3.000% 
　　侨兴环球 1.640 -1.940% 
　　德信无线 0.820 -4.090% 
　　无锡尚德 22.890 -2.100% 
　　文思信息 5.360 -4.110% 
　　诺亚舟 3.170 0.000% 
　　深圳迈瑞 28.300 -5.850% 
　　CDC 1.250 -6.020% 


