美股下跌中国概念股周一多数下跌
　　新浪科技讯 北京时间3月10日凌晨消息，巴菲特称美国经济“已坠落悬崖”，世界银行组织预计将出现全球性经济衰退。美股周一延续了上周的下跌趋势，中国概念股几乎全线下跌。
　　截至收盘，道琼斯工业平均指数下跌了79.89点，报收6547.05点，跌幅为1.21%；标准普尔500指数下跌了6.85点，报收676.53点，跌幅为1.00%。标准普尔500指数已创下1996年9月以来新低，该指数盘中最高上涨1.7%，最低下跌1.5%，盘中在上涨与下跌之间共摆动至少25次。纳斯达克综合指数下跌了25.21点，报收1268.64点，跌幅为1.95%。
　　中国概念股周一几乎全线下跌，其中，UT斯达康大跌10%，下跌0.07美元，跌至0.63美元。
　　股票 股价 涨跌幅 
　　新浪 18.930 -3.570% 
　　网易 20.900 -0.710% 
　　搜狐 43.010 -2.210% 
　　百度 155.080 -1.240% 
　　分众传媒 5.810 -2.520% 
　　盛大 30.770 -1.570% 
　　巨人网络 7.030 -1.540% 
　　第九城市 9.330 -1.690% 
　　完美时空 10.440 -3.870% 
　　携程网 20.740 2.120% 
　　金融界 7.850 -4.270% 
　　艺龙 5.310 3.510% 
　　前程无忧 6.220 0.000% 
　　掌上灵通 1.180 2.610% 
　　空中网 4.740 -3.850% 
　　华友世纪 1.020 5.150% 
　　易居中国 6.470 -4.710% 
　　如家快捷 7.710 -0.900% 
　　新东方 41.320 -1.850% 
　　正保远程教育 5.500 7.630% 
　　华视传媒 5.410 -3.740% 
　　航美传媒 4.000 -5.660% 
　　新华财经传媒 0.440 4.760% 
　　永新视博 6.500 2.520% 
　　展讯通信 0.860 2.380% 
　　亚信科技 12.480 8.620% 
　　中芯国际 1.550 -4.910% 
　　中星微电子 1.770 4.120% 
　　炬力 1.350 -1.390% 
　　侨兴环球 1.020 4.080% 
　　德信无线 1.410 -2.090% 
　　无锡尚德 5.260 -1.500% 
　　文思信息 4.620 -1.280% 
　　诺亚舟 2.990 -0.660% 
　　中华网 0.750 -1.330% 


