中国互联网公司股价周二涨跌互现
　　新浪科技讯 北京时间9月9日凌晨消息，美股周二连续第三个交易日收高，能源与原材料板块领涨，卡夫食品收购英国Cadbury的消息也增强了投资者对经济复苏的期望。中国互联网公司股价周二涨跌互现，其中文思信息上涨13.08%，空中网上涨13.81%，UT斯达康下跌了5.16%。
　　截至收盘，道琼斯工业平均指数上涨了56.07点，至9497.34点，涨幅为0.59%；纳斯达克综合指数上涨了18.99点，至2037.77点，涨幅为0.94%；标准普尔500指数上涨了8.97点，至1025.37点，涨幅为0.88%。
　　股票名称 最新价 涨跌幅
　　新浪 32.35 3.82%
　　网易 44.23 4.02%
　　搜狐 63.51 1.41%
　　百度 357.15 4.04%
　　分众传媒 9.62 0.52%
　　盛大 47.95 -3.50%
　　巨人网络 7.71 0.78%
　　畅游 41.15 5.38%
　　第九城市 7.82 1.30%
　　完美时空 42.04 5.55%
　　携程网 54.06 0.43%
　　金融界 9.63 2.77%
　　艺龙 7.77 -0.38%
　　前程无忧 12.4 0.81%
　　掌上灵通 2.07 -1.43%
　　空中网 13.43 13.81%
　　华友世纪 3.85 -1.28%
　　易居中国 20 -1.77%
　　如家快捷 28.46 2.93%
　　新东方 69.87 -0.40%
　　正保远程教育 7.85 1.95%
　　华视传媒 5.96 1.86%
　　航美传媒 7.9 -4.70%
　　新华悦动传媒 1.52 0.66%
　　永新视博 7.65 0.26%
　　UT斯达康 2.02 -5.16%
　　展讯通信 3.51 5.09%
　　亚信科技 18.01 -1.15%
　　中芯国际 2.64 4.76%
　　中星微电子 3.27 2.51%
　　炬力 2.28 2.71%
　　侨兴环球 1.88 -0.53%
　　德信无线 2.85 -1.72%
　　无锡尚德 15.9 7.07%
　　文思信息 14.78 13.08%
　　诺亚舟 4.55 -1.52%
　　中华网 2.33 -2.10%
　　CDC软件 8.44 2.30%
　　侨兴移动 2.88 4.73%
　　国人通信 4.6 6.24%

