全球500强亮相 中国公司首入前20
　　本报讯 (驻京记者／郑春峰) 30家中国(包括港、台)企业入选2007年全球500强名单；中石化的排名攀升至第17位，中国企业首次杀入前20强——这是最新一期《财富》杂志公布的“2007年全球500强”榜单亮点。
　　全球500强
　　去年总营收近21万亿美元
　　据了解，《财富》“2007年全球500强”是根据入选企业2006年的营收状况进行排名的。全球500强2006年总营收接近21万亿美元，同比增长10.4%；净利润为1.5万亿美元，同比增长25.9%。虽然营收和净利润的增长速度低于一年之前，但7%的利润率却是最高水平。
　　排名结果显示，此次沃尔玛以3511亿美元营收超越埃克森美孚，重新夺回了榜首宝座。得益于石油价格的上涨，石油相关公司在排行榜中的表现依然抢眼。在排名前10位的企业中，有6家为石油公司——这其中就包括中石化；此外，还有3家为同石油有着紧密联系的汽车厂商。
　　而从新榜单前25强的座次看，“资本与财富”的能量彰显得淋漓尽致——共有荷兰ING集团(第13位)和美国花旗集团(第14位)等10家财经服务公司入围其中。
　　中国最富企业：
　　石化石油电力三大能源大鳄
　　亚洲企业方面，排名最高的是日本的丰田汽车(第6位)。中国共有30家企业上榜，其中内地22家，香港2家，台湾6家。在内地企业中，排名前3位的依次是中石化、中石油和国家电网；2家香港企业为和记黄埔和怡和集团；台湾企业排名前3位的依次是鸿海精密、中油公司和国泰金融。
　　30家中国企业上榜
　　公司　　　　　　　　排名　　　营收(亿美元)　
　　中石化　　　　　　　17　　　　1316.360　
　　中石油　　　　　　　24　　　　1105.202
　　国家电网　　　　　　29　　　　1071.855
　　鸿海科技(台湾)　　　154　　　　405.956
　　中国工商银行　　　　170　　　　368.329
　　中国移动通信　　    180　　　　359.137
　　中国人寿保险　　　　192　　　　337.115
　　中国银行　　　　　　215　　　　307.508
　　中国建设银行　　　　230　　　　285.323
　　中国南方电网　　　　237　　　　279.661
　　中国电信　　　　　　275　　　　247.913
　　中国农业银行　　　　277　　　　244.755　
　　和记黄埔(香港)　　　290　　　　236.610
　　中国中化集团　　　　299　　　　231.092
　　宝钢集团　　　　　　307　　　　226.634
　　中油公司(台湾)　　　327　　　　217.961
　　中国铁路工程总公司　342　　　　205.204
　　国泰金融(台湾)　　　343　　　　204.364
　　中国铁道建筑总公司　384　　　　187.357
　　中国一汽　　　　　　385　　　　187.107
　　中国建筑工程总公司　396　　　　181.632　
　　上海汽车　　　　　　402　　　　180.101
　　中粮集团　　　　　　405　　　　179.532
　　华硕电脑(台湾)　　　427　　　　172.247
　　中国五矿集团　　　　435　　　　169.022
　　广达电脑(台湾)　　　447　　　　165.313　
　　台塑石化(台湾)　　　456　　　　162.818
　　怡和集团(香港)　　　457　　　　162.810
　　中海油　　　　　　　469　　　　160.389
　　中远集团　　　　　　488　　　　154.135 


