美股周三大跌中国概念股全线下跌
　　新浪科技讯 北京时间5月14日凌晨消息，因美国商务部表示四月零售额低于预期，美股周三大幅下跌。中国概念股今日在纳斯达克几乎全线下跌。
　　截至收盘，道琼斯工业平均指数下跌了184.22点，至8284.89点，跌幅为2.18%；纳斯达克综合指数下跌了51.73点，至1664.19点，跌幅为3.01%，标准普尔500指数下跌了24.43点，至883.92点，跌幅为2.69%。
　　中国概念股今日除九城关贸逆市大涨17.08%外，几乎全线下跌，四公司股票跌幅超过10%。其中，灵通网大跌12.73%，报收于1.44美元；金融界大跌10.72%，报收于11.24美元；新华悦动传媒大跌26.44%，报收于0.64美元；侨兴移动大跌10%，报收于3.15美元。
　　股票 股价 涨跌幅
　　新浪 26.230 -2.350%
　　网易 30.850 -1.060%
　　搜狐 52.490 -2.760%
　　百度 231.000 -4.220%
　　分众传媒 7.130 -4.040%
　　盛大 48.410 -5.840%
　　巨人网络 8.180 -1.920%
　　畅游 27.260 -7.720%
　　第九城市 9.080 -2.890%
　　完美时空 17.830 -4.700%
　　携程网 36.690 -2.080%
　　金融界 11.240 -10.720%
　　艺龙 6.520 -4.960%
　　前程无忧 8.640 -3.460%
　　掌上灵通 1.440 -12.730%
　　空中网 7.220 -0.410%
　　华友世纪 2.680 -6.620%
　　易居中国 11.500 -8.290%
　　如家快捷 14.550 -3.640%
　　新东方 53.000 -0.920%
　　正保远程教育 4.600 -7.630%
　　华视传媒 5.100 -4.850%
　　航美传媒 6.040 -2.270%
　　新华悦动传媒 0.640 -26.440%
　　永新视博 8.340 -21.170%
　　UT斯达康 1.570 -6.550%
　　展讯通信 1.660 0.610%
　　亚信科技 16.270 -4.570%
　　中芯国际 2.160 0.470%
　　中星微电子 1.730 -2.810%
　　炬力 1.910 -7.280%
　　侨兴环球 1.920 -5.880%
　　德信无线 1.530 -7.220%
　　无锡尚德 14.060 -14.530%
　　诺亚舟 3.200 -2.740%
　　中华网 1.200 -9.770%


