中国互联网公司股价周四几乎全线上涨
　　新浪科技讯 北京时间10月30日凌晨消息，因三季度GDP报告好于预期，美股周四大幅飙升。中国互联网公司股价在纳斯达克几乎全线上涨，5公司股票涨幅超10%。
　　截至收盘，道琼斯工业平均指数上涨了199.89点，至9962.58点，涨幅为2.05%；纳斯达克综合指数上涨了37.94点，至2097.55点，涨幅为1.84%；标准普尔500指数上涨了23.48点，至1066.11点，涨幅为2.25%。
　　中国互联网公司周四几乎全线上涨，5公司股票涨幅超10%，其中，盛大网络和盛大游戏分别上涨12.69%和12.06%，报收于45.46和9.85美元；艺龙网大涨10.46%，报收于12.36美元；亚信大涨17.27%，报收于23.29美元；如家大涨13.84%，报收于29.04美元。
　　股票 	股价 	涨跌幅
　　新浪 	38.44	2.89%
　　CRIC 	12.6	1.12%
　　网易 	38.49	6.92%
　　搜狐 	57.44	2.92%
　　百度 	393.4	-0.86%
　　分众传媒 	13.41	2.76%
　　盛大 	45.46	12.69%
　　盛大游戏 	9.85	12.06%
　　巨人网络 	7.33	0.83%
　　畅游 	31.27	-1.60%
　　第九城市 	7.68	0.33%
　　完美时空 	44.04	2.04%
　　携程网 	56.76	-1.24%
　　金融界 	8.4	5.66%
　　艺龙 	12.36	10.46%
　　前程无忧 	15.34	-0.97%
　　掌上灵通 	2.11	1.44%
　　空中网 	13.62	9.93%
　　华友世纪 	6.01	0.33%
　　易居中国 	18.58	9.42%
　　如家快捷 	29.04	13.84%
　　新东方 	71.3	0.48%
　　正保远程教育 	6.86	6.19%
　　华视传媒 	8.9	2.89%
　　航美传媒 	8.45	1.32%
　　新华悦动传媒 	1.17	0.86%
　　永新视博 	6.81	4.45%
　　UT斯达康 	1.99	3.11%
　　展讯通信 	5.35	4.29%
　　亚信科技 	23.29	17.27%
　　中芯国际 	2.49	0.00%
　　中星微电子 	3.67	-0.81%
　　炬力 	2.37	-7.06%
　　侨兴环球 	1.87	3.31%
　　德信无线 	3.21	4.56%
　　无锡尚德 	13.2	8.11%
　　文思信息 	15.69	6.81%
　　诺亚舟 	4.75	1.50%
　　中华网 	2.29	6.02%
　　CDC软件 	9.12	3.64%
　　侨兴移动 	3.12	-7.42%
　　国人通信 	4.52	5.61%

