中国互联网公司周二股价多数下跌
　　新浪科技讯 北京时间8月11日凌晨消息 周二美国股市收低，但主要股指较盘中最差水平均有所反弹。受此影响，中国互联网公司周二股价多数下跌。
　　美东时间8月10日16:00(北京时间8月11日04:00)，道琼斯工业平均指数下跌54.50点，收于10,644.25点，跌幅 0.51%；纳斯达克综合指数下跌28.52点，收于2,277.17点，跌幅1.24%；标准普尔500指数下跌6.72点，收于1,121.07点，跌幅0.60%。
　　股票名称		最新价		涨跌幅
　　新浪		44.47		-1.46%
　　CRIC		9.69		-1.92%
　　网易		38.49		-2.80%
　　搜狐		49.11		-2.87%
　　百度		87.87		0.35%
　　分众传媒		18.27		-4.89%
　　盛大		42.66		0.00%
　　盛大游戏		6.88		-3.51%
　　巨人网络		6.51		-3.70%
　　畅游		28.82		-1.84%
　　第九城市		5.4		-0.37%
　　完美时空		25.54		-1.81%
　　携程网		41.1		-3.34%
　　金融界		8.17		3.03%
　　艺龙		13.65		-0.15%
　　前程无忧		26.22		-0.42%
　　掌上灵通		1.8		-0.55%
　　空中网		6.01		-1.48%
　　酷6传媒		2.95		-1.67%
　　易居中国		15.39		-3.75%
　　如家快捷		43.14		-2.57%
　　7天连锁		12.97		-1.74%
　　新东方		99.04		-1.73%
　　正保远程教育		5.02		-2.58%
　　华视传媒		3.91		3.44%
　　航美传媒		3.47		-8.92%
　　新华悦动传媒		0.26		-10.35%
　　永新视博		6.41		-0.93%
　　UT斯达康		2.04		-3.77%
　　展讯通信		10.55		-2.76%
　　亚信科技		22.22		1.00%
　　中芯国际		3.52		-0.84%
　　中星微电子		4.4		-1.57%
　　炬力		2.18		-0.46%
　　侨兴环球		1.61		-2.42%
　　德信无线		2.88		-1.37%
　　无锡尚德		9.2		-1.08%
　　文思信息		27.79		0.18%
　　诺亚舟		2.82		2.92%
　　中华网		1.87		-5.56%
　　CDC软件		6.23		-4.15%
　　侨兴移动		2.69		1.13%
　　国人通信		2.12		2.92%
　　汉庭连锁酒店		19.2		-8.35%

