中国概念股周一收盘普涨 新浪大涨16.12%
　　新浪科技讯 美国东部时间6月1日16:00(北京时间6月2日4:00)消息，因经济数据利好，美股周一大幅上涨，道指上涨2.6%，道指今年跌幅已不到1%，纳指上涨3.1%，创年内新高。中国概念股周一普涨。
　　截至收盘，道琼斯工业平均指数上涨了221.03点，至8721.36点，涨幅为2.60%；纳斯达克综合指数上涨了54.35点，至1828.68点，涨幅为3.06%，标准普尔500指数上涨了23.73点，至942.87点，涨幅为2.58%。
　　中国概念股周一普涨，新浪股价大涨16.12%，正保远程教育股价逆势跌4.15%。
　　股票名称	最新价	 涨跌幅
　　新浪	32.640	  16.120%
　　网易	35.810	  3.560%
　　搜狐	66.250	  5.130%
　　百度	285.990	  8.410%
　　分众传媒	8.940	  3.950%
　　盛大	60.230	  4.530%
　　巨人网络	7.920	  5.740%
　　畅游	35.770	  8.720%
　　第九城市	9.270	  1.420%
　　完美时空	22.550	  6.420%
　　携程网	42.280	  3.250%
　　金融界	12.730	  1.840%
　　艺龙	6.480	  2.050%
　　前程无忧	8.700	  0.350%
　　掌上灵通	1.920	  1.050%
　　空中网	9.960	  2.680%
　　华友世纪	3.050	  4.100%
　　易居中国	15.670	  6.960%
　　如家快捷	16.990	  9.830%
　　新东方	59.080	  7.500%
　　正保远程教育	5.550	 -4.150%
　　华视传媒	6.220	  3.150%
　　航美传媒	6.600	 -1.270%
　　新华悦动传媒	0.680	 -1.300%
　　永新视博	9.090	  1.000%
　　UT斯达康	2.240	  8.210%
　　展讯通信	1.900	  5.560%
　　亚信科技	21.080	  0.670%
　　中芯国际	2.800	  6.870%
　　中星微电子	2.200	 -2.220%
　　炬力	2.100	  3.700%
　　侨兴环球	2.050	  4.590%
　　德信无线	1.990	  5.290%
　　无锡尚德	17.210	  5.320%
　　诺亚舟	4.500	  1.120%
　　中华网	1.700	  3.030%


