中国概念股周二普遍上涨 12只股票涨幅超5%
　　新浪科技讯 北京时间9月28日凌晨消息，周二美国股市收高。德国首相默克尔表示支持希腊、欧洲政策制定者们已接近出台解决欧洲主权债务危机方案，推动美股攀升。纳斯达克综合指数涨1.20%。中国概念股普遍上涨，18只股票涨幅超4%，其中世纪佳缘大涨9.96%，新浪、网易、优酷、搜房等12只股票涨幅超5%。学大教育则大跌10.23%创历史新底，金融界跌5.9%创下52周新低。
　　周二，7只股票涨幅超7%。其中，世纪佳缘大涨9.96%，搜房网涨8.73%，九城关贸涨8%；优酷、炬力、新东方、航美传媒等4只票涨幅在7%至8%之间。
　　新浪、网易、华视传媒、锐迪科威电子、凤凰新媒体等5只股票涨幅在5%至7%之间。
　　人人受收购56网(微博)消息推动涨4.49%。百度、携程、前程无忧、CDC软件、中芯国际、易车网等6只股票涨幅在4%至5%之间。
　　此外，联游网络跌6.02%，侨兴环球跌3.87%创52周新低，世纪互联跌3.55%。
　　美东时间9月27日16:00(北京时间9月28日04:00)，道琼斯工业平均指数上涨146.83点，收于11,190.69点，涨幅1.33%；纳斯达克综合指数上涨30.14点，收于2,546.83点，涨幅1.20%；标准普尔500指数上涨12.43点，收于1,175.38点，涨幅1.07%。(飞宇)
　　股票　最新价　涨跌幅
　　新浪　87.13　5.82%
　　CRIC　4.94　3.35%
　　网易　41.4　5.48%
　　搜狐　59.84　0.81%
　　百度　127.72　4.21%
　　分众传媒　27.41　2.89%
　　盛大　34.52　-0.35%
　　盛大游戏　4.95　-0.40%
　　巨人网络　3.51　0.86%
　　畅游　29.45　3.19%
　　第九城市　4.08　-1.69%
　　完美世界　13.03　0.62%
　　携程网　36.93　4.12%
　　金融界　2.17　-5.90%
　　艺龙　17.41　-1.53%
　　前程无忧　47.2　4.33%
　　掌上灵通　0.8　-1.22%
　　空中网　3.67　-1.08%
　　酷6传媒　1.88　3.30%
　　易居中国　6.34　6.73%
　　华视传媒　1.86　5.08%
　　航美传媒　2.61　7.41%
　　UT斯达康　1.06　2.91%
　　展讯通信　20.35　3.14%
　　亚信科技　8.56　0.00%
　　中芯国际　2.57　4.05%
　　中星微电子　1.36　0.74%
　　炬力　1.95　7.14%
　　侨兴环球　0.8　-3.87%
　　泰克飞石　1.95　1.04%
　　文思信息　8.35　2.08%
　　诺亚舟　1.68　-0.59%
　　中华网　1.08　0.93%
　　CDC软件　3.13　4.68%
　　侨兴移动　1.03　1.98%
　　国人通信　1.96　-1.01%
　　联游网络　0.47　-6.02%
　　BCD半导体　5.35　7.00%
　　学而思　10.41　1.66%
　　学大教育　3.16　-10.23%
　　正保远程教育　2.46　0.00%
　　新东方　29.85　7.07%
　　搜房网　13.2　8.73%
　　蓝汛　5.01　0.00%
　　高德软件　13.92　1.09%
　　麦考林　1.42　0.71%
　　优酷网　20.27　7.31%
　　当当网　5.47　-2.84%
　　斯凯　3.89　2.37%
　　软通动力　8.62　-2.27%
　　创博国际　2.66　-2.56%
　　海辉软件　10.39　1.56%
　　奇虎360　17.69　2.20%
　　世纪互联　10.61　-3.55%
　　人人公司　5.59　4.49%
　　网秦　4.29　-0.23%
　　世纪佳缘　8.83　9.96%
　　凤凰新媒体　5.28　6.67%
　　淘米　6.63　1.29%
　　土豆网　17.93　3.58%

