中国概念股周四早盘几乎全线下跌
　　新浪科技讯 美国东部时间9月4日(北京时间9月4日)消息，由于主要零售商学生返校后销售额业绩不甚理想、就业数据欠佳，网络基础设施公司Ciena发布盈利预警，美股周四大幅低开，纳斯达克综合指数下跌了19点，至2315点，跌幅为0.8%。(向东)
　　股票 股价   涨跌幅 
　　新浪 40.420 -2.560% 
　　网易 25.410 -1.050% 
　　搜狐 68.390 -4.390% 
　　百度 285.120 -2.770% 
　　分众传媒 28.610 -1.260% 
　　盛大网络 28.680 -0.800% 
　　巨人网络 8.680 -0.800% 
　　第九城市 18.250 -1.880% 
　　完美时空 24.710 -1.160% 
　　携程网 47.300 -2.210% 
　　金融界 15.800 -1.800% 
　　亿龙 7.300 0.550% 
　　前程无忧 10.360 -0.100% 
　　灵通网 1.760 -0.560% 
　　空中网 4.070 1.240% 
　　华友世纪 2.800 -1.750% 
　　易居中国 9.540 -4.500% 
　　如家快捷 15.500 -0.190% 
　　新东方 69.560 -1.810% 
　　正保远程教育 4.600 -1.710% 
　　华视传媒 18.850 -2.290% 
　　航美传媒 12.040 -1.470% 
　　新华财经传媒 2.280 0.880% 
　　永新视博 8.630 -3.680% 
　　UT斯达康 3.240 -1.220% 
　　展讯通信 3.250 0.310% 
　　亚信 12.640 -2.170% 
　　中芯国际 2.360 -2.070% 
　　中星微 2.850 0.000% 
　　珠海炬力 3.130 -0.630% 
　　侨兴环球 4.150 -0.240% 
　　德信无线 1.490 -1.320% 
　　无锡尚德 42.470 1.920% 
　　诺亚舟 4.840 -0.210% 
　　深圳迈瑞 38.170 1.110% 
　　中华网投资集团 2.610 0.000%


