中国互联网公司周四收盘涨跌互现
　　新浪科技讯 美国东部时间4月15日16:00(北京时间4月16日4:00)消息，受UPS财报及地区性制造业数据的利好推动，周四美国股市小幅收高。中国互联网公司周四涨跌互现。
　　截至收盘，纳斯达克综合指数上涨10.83点，收于2,515.69点，涨幅0.43%；道琼斯工业平均指数上涨21.46点，收于11,144.57点，涨幅0.19%；标准普尔500指数上涨1.03点，收于1,211.68点，涨幅0.09%。
　　中国互联网公司周四收盘涨跌互现。新华悦动传媒(Nasdaq:XSEL)跌3.82%，华友世纪(Nasdaq:HRAY)涨4.23%。
　　股票名称		最新价		涨跌幅
　　新浪		38.91		-0.10%
　　CRIC		9.64		-2.72%
　　网易		35.82		-1.59%
　　搜狐		52.98		-0.19%
　　百度		648.96		1.77%
　　分众传媒		17.71		-0.39%
　　盛大		44.88		-0.33%
　　盛大游戏		7.52		-0.13%
　　巨人网络		8		-0.50%
　　畅游		34.09		1.73%
　　第九城市		7.13		0.00%
　　完美时空		34.73		-3.50%
　　携程网		39.98		1.45%
　　金融界		7.6		0.26%
　　艺龙		11.98		-0.99%
　　前程无忧		19.01		-1.91%
　　掌上灵通		1.68		-1.75%
　　空中网		7.93		-0.88%
　　华友世纪		3.45		4.23%
　　易居中国		19.19		-5.28%
　　如家快捷		34.19		-1.67%
　　7天连锁		10.63		-2.75%
　　新东方		93.06		-0.15%
　　正保远程教育		5.75		-0.35%
　　华视传媒		4.9		2.08%
　　航美传媒		6.27		3.81%
　　新华悦动传媒		0.78		-3.82%
　　永新视博		7.58		2.02%
　　UT斯达康		3.04		-1.30%
　　展讯通信		6.43		-1.68%
　　亚信科技		28.26		0.96%
　　中芯国际		6.33		-0.16%
　　中星微电子		4.44		-1.33%
　　炬力		2.33		-0.43%
　　侨兴环球		1.88		0.00%
　　德信无线		2.61		-0.38%
　　无锡尚德		15.35		3.37%
　　文思信息		24.38		-2.75%
　　诺亚舟		5.25		2.74%
　　中华网		3.13		-0.95%
　　CDC软件		10.67		-2.02%
　　侨兴移动		2.93		-1.35%
　　国人通信		2.82		2.55%
　　汉庭连锁酒店		15.58		3.52%

