美股大幅上扬中国概念股周三普遍上涨
　　新浪科技讯 北京时间4月30日凌晨消息，尽管一季度GDP低于预期，但美股周三大幅上扬并创下一周来单日最大涨幅，金融股领涨。美联储声明暗示美国正在走出衰退。受大盘影响，中国概念股几乎全线上涨。
　　截至收盘，道琼斯工业平均指数上涨了168.78点，报收8185.73点，涨幅为2.11%；纳斯达克综合指数上涨了38.13点，报收1711.94点，涨幅为2.28%，标准普尔500指数上涨了18.48点，报收873.64点，涨幅为2.16%。
　　中国概念股周三几乎全线上涨，其中，畅游网大涨10.89%，报收于31.05美元；华视传媒受昨日发布财报影响，今日收盘大跌15.95%，报收于5.27美元。
　　股票 股价 涨跌幅 
　　新浪 28.900 6.130% 
　　网易 30.090 1.450% 
　　搜狐 50.040 1.380% 
　　百度 227.290 2.760% 
　　分众传媒 6.420 1.100% 
　　盛大 48.600 5.400% 
　　巨人网络 8.640 1.410% 
　　畅游 31.050 10.890% 
　　第九城市 9.380 1.300% 
　　完美时空 18.290 8.350% 
　　携程网 30.660 3.900% 
　　金融界 11.790 6.220% 
　　艺龙 6.120 1.980% 
　　前程无忧 7.910 2.460% 
　　掌上灵通 1.500 5.630% 
　　空中网 6.200 1.310% 
　　华友世纪 2.070 3.500% 
　　易居中国 12.280 8.870% 
　　如家快捷 13.590 5.270% 
　　新东方 51.520 -1.210% 
　　正保远程教育 5.900 0.000% 
　　华视传媒 5.270 -15.950% 
　　航美传媒 5.470 0.370% 
　　新华悦动传媒 0.580 3.570% 
　　永新视博 8.700 10.410% 
　　UT斯达康 1.220 3.390% 
　　展讯通信 1.480 0.000% 
　　亚信科技 17.520 8.420% 
　　中芯国际 1.990 9.340% 
　　中星微电子 1.870 2.190% 
　　炬力 1.720 0.000% 
　　侨兴环球 1.760 6.020% 
　　德信无线 1.490 0.680% 
　　无锡尚德 14.240 16.430% 
　　文思信息 8.070 1.380% 
　　诺亚舟 3.050 1.670% 
　　中华网 1.180 1.720% 


