中国概念股周一早盘普跌
　　新浪科技讯 美国东部时间3月2日10:10(北京时间3月2日23:10)消息，美股周一大幅低开，道指自1997年10月28日来首次跌破7000点大关，美国国际集团(AIG)上一季度亏损617亿美元，创美国公司历史上最大季度亏损纪录。
　　道琼斯工业平均指数下跌了132.93点，至6930点；标准普尔500指数下跌了15.05点，至720.04点；纳斯达克综合指数下跌了18.37点，至1359.47点。
　　受大盘影响，中国概念股周一早盘普跌。
　　股票名称 最新价  涨跌幅
　　新浪 21.520   0.230%
　　网易 20.910   2.100%
　　搜狐 47.260  -4.330%
　　百度 143.830  -3.030%
　　分众传媒 6.640  -4.460%
　　盛大 32.070  -2.290%
　　巨人网络 6.360  -0.620%
　　第九城市 11.280  -3.340%
　　完美时空 10.650  -7.390%
　　携程网 19.510  -2.450%
　　金融界 8.260  -5.820%
　　艺龙 5.410   5.050%
　　前程无忧 7.200  -0.410%
　　掌上灵通 1.170   0.000%
　　空中网 4.990  -0.700%
　　华友世纪 1.290   0.000%
　　易居中国 6.310   0.000%
　　如家快捷 7.600  -2.810%
　　新东方 43.330  -3.220%
　　正保远程教育 4.770  -1.240%
　　华视传媒 6.050  -0.170%
　　航美传媒 3.830  -4.010%
　　新华财经传媒 0.440   0.000%
　　永新视博 6.440  -3.450%
　　UT斯达康 0.990  -1.980%
　　展讯通信 0.880   0.000%
　　亚信科技 12.150  -0.490%
　　中芯国际 1.640  -4.090%
　　中星微电子 1.880  -1.050%
　　炬力 1.410   0.710%
　　侨兴环球 1.220   0.000%
　　德信无线 1.420  -0.700%
　　无锡尚德 5.850  -3.940%
　　文思信息 4.570  -1.080%
　　诺亚舟 3.050   0.000%
　　中华网 0.780  -0.640%


