中国概念股周五涨跌互现 学大和环球雅思创新低
　　新浪科技讯 北京时间11月6日凌晨消息 美股周五小幅上扬，非农就业人数的增幅好于预期，但失业率仍维持在9.6%。中国概念股涨跌互现，新浪涨1.18%，盘中冲破60美元创历史新高；学大教育和环球雅思分别下跌8.69%和6.93%，均跌至IPO以来新低，蓝讯通信受益三季财报涨5.98%。
　　截至收盘(北京时间凌晨4点)，道琼斯工业平均指数上涨了9.24点，至11444.08点，涨幅为0.08%；纳斯达克综合指数上涨了1.64点，至2578.98点，涨幅为0.06%；标准普尔500指数上涨了4.79点，至1225.85点，涨幅为0.39%。
　　中国概念股周五涨跌互现。新浪涨1.18%，报59.14美元，盘中交易冲破60美元创历史新高；学大教育和环球雅思分别下跌8.69%和6.93%，报于10.82和8.19美元，均跌至IPO以来新低；蓝讯通信受益三季财报涨5.98%，报25.89美元。
　　股票　最新价　涨跌幅
　　新浪　59.14　1.18%
　　CRIC　9.65　-4.36%
　　网易　41.09　2.73%
　　搜狐　74.05　-0.39%
　　百度　108.8　-1.14%
　　分众传媒　26　-1.07%
　　盛大　40.12　0.25%
　　盛大游戏　6.3　-2.78%
　　巨人网络　7.03　0.00%
　　畅游　31.95　-2.35%
　　第九城市　6.83　-2.43%
　　完美时空　32　-1.54%
　　携程网　47.52　-0.40%
　　金融界　8.57　0.00%
　　艺龙　20.15　6.84%
　　前程无忧　45.04　-2.49%
　　掌上灵通　1.42　0.71%
　　空中网　7.4　-1.33%
　　酷6传媒　5.2　-7.96%
　　易居中国　17.3　-1.14%
　　如家快捷　45.99　0.48%
　　7天连锁　18.98　1.55%
　　新东方　104　-1.76%
　　正保远程教育　5.38　2.48%
　　华视传媒　3.98　0.76%
　　航美传媒　7.02　3.39%
　　新华悦动传媒　0.27　1.81%
　　永新视博　6.96　0.43%
　　UT斯达康　2.11　-2.76%
　　展讯通信　16.09　2.48%
　　亚信科技　20.46　-1.92%
　　中芯国际　4.22　-1.86%
　　中星微电子　3.72　-2.00%
　　炬力　2.07　-0.48%
　　侨兴环球　1.77　0.00%
　　德信无线　4.02　-1.23%
　　无锡尚德　9.3　5.68%
　　文思信息　37.34　-0.90%
　　诺亚舟　2.05　1.84%
　　中华网　4.64　-1.90%
　　CDC软件　7.02　0.43%
　　侨兴移动　3.86　0.26%
　　国人通信　2.77　-1.07%
　　汉庭连锁酒店　21.8　0.00%
　　大华建设　0.82　5.13%
　　搜房网　77.19　0.82%
　　蓝汛　25.89　5.98%
　　高德软件　21.41　-1.88%
　　麦考林　14.69　1.94%

