中国概念股周二早盘涨跌互现
　　新浪科技讯 美国东部时间11月18日10:00(北京时间23:00)消息，因惠普预估第四财季调整后每股收益将增长20%，销售额增长19%，美股周二小幅上扬。
　　道琼斯工业平均指数上涨了26.76点，至8300.34点；标准普尔500指数上涨了3.3点，至845.05点；纳斯达克综合指数上涨了11.23点，至1493.28点。
　　受大盘影响，中国概念股周二早盘涨跌互现。其中新华财经传媒大跌20.830% 、携程网大跌16.570%。 
　　股票名称 最新价 涨跌幅 
　　新浪 25.920 2.050% 
　　网易 18.660 -1.890% 
　　搜狐 41.220 1.290% 
　　百度 132.710 -1.030% 
　　分众传媒 7.300 2.820% 
　　盛大网络 23.660 -1.330% 
　　巨人网络 6.470 1.250% 
　　第九城市 12.440 1.140% 
　　完美时空 17.550 4.400% 
　　携程网 19.740 -16.570% 
　　金融界 6.760 2.110% 
　　艺龙 7.120 0.140% 
　　前程无忧 6.500 0.000% 
　　灵通网 0.800 0.000% 
　　空中网 3.390 -0.590% 
　　华友世纪 1.630 0.000% 
　　易居中国 4.890 0.000% 
　　如家快捷 9.900 4.760% 
　　新东方 51.350 -4.730% 
　　正保远程教育 3.720 0.540% 
　　华视传媒 6.550 -0.610% 
　　航美传媒 5.170 3.190% 
　　新华财经传媒 0.760 -20.830% 
　　永新视博 5.480 -0.900% 
　　UT斯达康 1.550 -3.730% 
　　展讯通信 0.680 1.490% 
　　亚信 10.250 -0.100% 
　　中芯国际 1.060 0.000% 
　　中星微 1.930 -1.530% 
　　珠海炬力 1.640 -0.610% 
　　侨兴环球 1.950 -1.520% 
　　德信无线 0.850 2.420% 
　　无锡尚德 11.090 -2.720% 
　　文思信息 7.490 -1.830% 
　　诺亚舟 2.140 0.000% 
　　CDC 0.900 2.260% 


