暗光利器 福伦达发布35mm F1.2规格镜头
　　2011年6月20日，日本确善能公司确认发售了旗下代理的福伦达福伦达发布新款定焦镜头NOKTON 35/1.2 Aspherical VM。该产品的上市时间为8月，官方指导价格为141750日元，折合人民币大约为11425元上下。
　　该镜头曾参展于今年春季的CP+2011国际影像大展，是已停产产品NOKITON 35/1.2  Aspherical的升级之作，具备了一定的改进。该镜头支持徕卡M、VM卡口，支持徕卡机身以及福伦达品牌机身。目前的单电相机如果通过转接环，也可 以使用这款镜头。
　　该镜头主要规格指标
　　镜头型号： NOKTON 35/1.2 Aspherical VM II
　　发布日期： 2011-06-20
　　卡口结构： 全画幅
　　光学结构： 10组7片
　　镜头焦距(mm)： 35
　　最大光圈(f/)： 1.2
　　最小光圈(f/)： 22
　　等效135焦距(mm)： 50
　　视角(°)： 63
　　光圈叶片： 12
　　最近对焦距离(m)： 0.5
　　滤镜直径(mm)：  52
　　外观尺寸(DxL)(mm)： 62.0x60.8
　　重量(g)： 470

