中国概念股周二涨跌互现 新浪大涨5.75%
　　新浪科技讯 北京时间1月5日凌晨消息，周二美国股市收盘涨跌不一。美联储会议纪要表明央行认为美国经济状况略有改善，并认为无需改变其规模巨大的购买国债计划。食品零售商股票评级普遍遭到调降，使大盘承受了压力。中国概念股今日涨跌互现，新浪大涨5.75%报75.59美元；携程网涨6.85%报44.48美元、
　　另外，侨兴环球涨5.34%报2.96美元；大华建设涨5%报1.68美元；学大教育集团则跌6.16%报10.66美元。
　　美东时间1月4日16:00(北京时间1月5日05:00)，道琼斯工业平均指数上涨20.43点，收于11,691.18点，涨幅0.18%；纳斯达克综合指数下跌10.27点，收于2,681.25点，跌幅0.38%；标准普尔500指数下跌1.69点，收于1,270.20点，跌幅0.13%。
　　股票　最新价　涨跌幅
　　新浪　75.59　5.75%
　　CRIC　9.06　-2.89%
　　网易　36.64　-0.05%
　　搜狐　64.64　1.08%
　　百度　100.97　1.24%
　　分众传媒　23.71　4.22%
　　盛大　40.43　-1.99%
　　盛大游戏　6.28　-4.25%
　　巨人网络　7.13　-0.97%
　　畅游　29.17　-1.35%
　　第九城市　6.75　-2.60%
　　完美时空　23.54　-1.09%
　　携程网　44.5　6.89%
　　金融界　6.62　0.61%
　　艺龙　18.49　-4.05%
　　前程无忧　50.9　-0.53%
　　掌上灵通　1.54　-4.94%
　　空中网　7.01　0.14%
　　酷6传媒　4.45　0.23%
　　易居中国　15.19　-1.68%
　　如家快捷　39.6　-0.15%
　　7天连锁　20.22　-3.58%
　　新东方　105.12　-0.35%
　　正保远程教育　4.64　1.98%
　　华视传媒　4.64　3.57%
　　航美传媒　7.34　4.71%
　　新华悦动传媒　0.18　-1.28%
　　永新视博　7.01　-1.82%
　　UT斯达康　2.11　0.48%
　　展讯通信　18.25　-0.05%
　　亚信科技　18.35　0.88%
　　中芯国际　3.8　0.26%
　　中星微电子　3.94　-0.76%
　　炬力　2.19　1.39%
　　侨兴环球　2.96　5.34%
　　德信无线　4.27　-0.47%
　　无锡尚德　8.57　2.02%
　　文思信息　35.35　1.49%
　　诺亚舟　2.06　0.98%
　　中华网　3.43　-2.00%
　　CDC软件　6.29　-0.16%
　　侨兴移动　4.3　1.42%
　　国人通信　3.14　-0.32%
　　汉庭连锁酒店　22.41　-0.97%
　　大华建设　1.68　5.00%
　　搜房网　72.5　0.04%
　　蓝汛　21.84　1.53%
　　高德软件　17.43　2.65%
　　麦考林　7.7　-0.13%
　　优酷网　35.64　0.25%
　　当当网　25.69　-2.69%
　　博纳影业　6.02　4.15%
　　斯凯　5.33　1.14%
　　软通动力　18.1　0.28%

