中国概念股周三整体走高 25家公司涨幅超5%
　　新浪科技讯 10月6日早间消息，周三美国股市收高，大盘两连阳。美国9月ISM服务业指数好于市场预期、私营部门就业人数增加，提振了市场情绪。中国概念股整体走高，其中有25家公司收盘涨幅超过5%。
　　美东时间10月5日16:00(北京时间10月6日04:00)，道琼斯工业平均指数上涨131.24点，收于10,939.95点，涨幅1.21%；纳斯达克综合指数上涨55.69点，收于2,460.51点，涨幅2.32%；标准普尔500指数上涨20.08点，收于1,144.03点，涨幅1.79%。
　　受大盘影响，中国概念股集体走高，在涨幅超过5%的25家公司中，涨幅超过10%的有5家，分别为文思信息大涨17.98%，盛大游戏大涨14.05%，学大教育大涨13.31%，斯凯大涨13.11%，泰克飞石大涨10%。
　　值得注意的是，受CDC Corp中华网投资集团向美国法院申请破产保护影响，CDC股价大跌51.72%，其子公司CDC软件大跌41.97%。
　　股票名称     最新价     涨跌幅
　　文思信息     7.94    17.98%
　　盛大游戏     4.14    14.05%
　　学大教育     2.81    13.31%
　　斯凯     3.45    13.11%
　　泰克飞石     1.87    10.00%
　　软通动力     6.76    9.74%
　　新东方     25.42    9.71%
　　畅游     26.46    8.98%
　　航美传媒     2.5    8.70%
　　巨人网络(微博) 3.39    7.62%
　　蓝汛     4.1    6.77%
　　奇虎360     15.81    6.75%
　　亚信科技     8.03    6.36%
　　空中网     3.92    6.23%
　　当当网(微博) 4.93    5.79%
　　完美世界(微博) 11.75    5.67%
　　酷6传媒     1.9    5.56%
　　掌上灵通     0.77    5.47%
　　新浪     76.57    5.37%
　　麦考林     1.38    5.34%
　　优酷网     16.48    5.30%
　　海辉软件     8.99    5.27%
　　搜狐     52.7    5.25%
　　网秦     3.91    5.11%
　　联游网络     0.53    5.00%
　　BCD半导体     5.29    4.96%
　　学而思     10.23    4.82%
　　UT斯达康     0.93    4.49%
　　中芯国际     2.44    4.27%
　　高德软件     13.34    4.22%
　　分众传媒     21.29    3.55%
　　盛大     32.4    3.45%
　　金融界     1.81    3.43%
　　创博国际     2    3.09%
　　搜房网     9.44    2.72%
　　前程无忧     41.88    2.60%
　　中星微电子     1.31    2.34%
　　土豆网     12.52    2.17%
　　易居中国     5.4    2.08%
　　携程网     33.43    2.01%
　　世纪佳缘     8.15    1.88%
　　淘米     5.47    1.86%
　　网易     38.6    1.34%
　　诺亚舟     1.58    1.28%
　　人人公司     5.02    1.01%
　　百度     111.17    0.98%
　　炬力     1.98    0.51%
　　凤凰新媒体     5.22    0.38%
　　世纪互联     10.5    0.24%
　　展讯通信     19.12    -0.98%
　　侨兴环球     0.69    -1.02%
　　侨兴移动     0.93    -1.29%
　　国人通信     1.72    -1.71%
　　华视传媒     1.46    -2.67%
　　艺龙     16.5    -2.94%
　　第九城市     2.96    -7.79%
　　CRIC     4.29    -9.68%
　　正保远程教育     2.01    -18.12%
　　CDC软件     1.77    -41.97%
　　中华网     0.42    -51.72%

