中国互联网公司周一股价涨跌互现
　　新浪科技讯 北京时间12月15日凌晨消息，美股周一小幅上扬，阿联酋向迪拜提供100亿美元援助的消息令人鼓舞，巨额购并消息也令投资者欣喜。中国互联网公司周一股价呈涨跌互现之势，其中国人通信上涨6.30%，华友世纪下跌了5.25%。
　　截至收盘，道指上涨了29.55点，至10501.05点，涨幅为0.28%；纳斯达克综合指数上涨了21.79点，至2212.10点，涨幅为0.99%；标准普尔500指数上涨了7.70点，至1114.11点，涨幅为0.70%。
　　股票名称		最新价		涨跌幅
　　新浪		46.01		2.36%
　　CRIC		11.58		0.87%
　　网易		37.02		1.06%
　　搜狐		53.24		-0.34%
　　百度		424.51		1.53%
　　分众传媒		17.29		6.27%
　　盛大		52.57		-0.76%
　　盛大游戏		10.73		2.78%
　　巨人网络		7.47		0.27%
　　畅游		31.47		2.31%
　　第九城市		7.14		-0.56%
　　完美时空		43.1		-0.05%
　　携程网		74.62		1.47%
　　金融界		7.97		0.00%
　　艺龙		11.47		-0.26%
　　前程无忧		18.41		0.11%
　　掌上灵通		1.87		-1.58%
　　空中网		11.01		-2.74%
　　华友世纪		4.18		-5.25%
　　易居中国		20.66		2.02%
　　如家快捷		37.49		2.63%
　　7天酒店		12.65		0.40%
　　新东方		77.26		0.82%
　　正保远程教育		6.55		-1.06%
　　华视传媒		11.23		3.22%
　　航美传媒		8.13		1.63%
　　新华悦动传媒		1.06		3.92%
　　永新视博		5.95		0.00%
　　UT斯达康		1.99		3.65%
　　展讯通信		5.35		-0.19%
　　亚信科技		32.16		3.54%
　　中芯国际		3.12		-2.80%
　　中星微电子		4.5		-0.44%
　　炬力		2.4		1.27%
　　侨兴环球		2.24		-3.86%
　　德信无线		3.34		-2.05%
　　无锡尚德		17.38		2.42%
　　文思信息		16.99		0.41%
　　诺亚舟		5.42		1.31%
　　中华网		2.39		1.27%
　　CDC软件		9.04		-4.24%
　　侨兴移动		4.1		-2.61%
　　国人通信		3.71		6.30%

