美股周二宽幅振荡中国概念股普跌
　　新浪科技讯 北京时间10月15日消息，美股周二宽幅振荡，收盘小幅下滑，道指下跌了76点，这是道指在过去9个交易日里涨跌点数首次没有达到三位数。标准普尔500指数下跌了0.5%，纳指下跌了3.5%。在大盘带动下，中国概念股普跌。
　　尽管美国政府披露了向大型金融机构注资2500亿美元计划的细节，但投资者仍对宏观经济以及企业盈利前景心存疑惑。部分投资者决定获利回吐，这也增强了卖盘压力。
　　股票名称　最新价　涨跌幅
　　新浪　33.260　-1.860%
　　网易　21.900　2.340%
　　搜狐　54.850　-3.350%
　　百度　250.250　 -5.940%
　　分众传媒　21.980　-4.350%
　　盛大网络　27.390　-2.530%
　　巨人网络　6.330　-3.060%
　　第九城市　16.500　3.840%
　　完美时空　20.460　-5.230%
　　携程网　34.750　-6.380%
　　金融界　10.150　-5.840%
　　艺龙　7.210　1.840%
　　前程无忧　8.800　-3.300%
　　灵通网　1.110　-1.770%
　　空中网　3.120　7.590%
　　华友世纪　2.580　0.000%
　　易居中国　5.280　-9.590%
　　如家快捷　11.030　-4.500%
　　新东方　60.540　-0.930%
　　正保远程教育　4.030　0.750%
　　华视传媒　12.120　-5.310%
　　航美传媒　6.980　-0.990%
　　新华财经传媒　1.130　2.730%
　　永新视博　8.240　-3.630%
　　UT斯达康　2.240　-3.860%
　　展讯通信　1.590　-5.930%
　　亚信　9.380　-7.770%
　　中芯国际　1.170　-9.300%
　　中星微　1.610　11.030%
　　珠海炬力　2.050　-0.970%
　　侨兴环球　1.920　-0.010%
　　德信无线　0.980　10.110%
　　无锡尚德　25.000　-9.750%
　　文思信息　6.580　-13.310%
　　诺亚舟　3.680　-8.000%
　　深圳迈瑞　27.820　-11.260%
　　CDC　1.800　16.130%


