中国互联网公司周五涨跌互现
　　新浪科技讯 北京时间11月21日早间消息，受戴尔业绩不及预期以及欧洲央行行长讲话影响，美股周五小幅低收。中国互联网公司周五涨跌互现。
　　截至收盘，道琼斯工业平均指数下跌了13.75点，至10318.69点，跌幅为0.13%；纳斯达克综合指数下跌了10.78点，至2146.04点，跌幅为0.50%；标准普尔500指数下跌了3.52点，至1091.38点，跌幅为0.32%。中国互联网公司周五涨跌互现。
　　股票名称	股票代码	最新价	涨跌幅
　　新浪	SINA	44.5	-1.11%
　　CRIC	CRIC	13.61	-1.16%
　　网易	NTES	38.25	2.82%
　　搜狐	SOHU	54	-2.17%
　　百度	BIDU	427.59	-0.10%
　　分众传媒	FMCN	13.1	-2.02%
　　盛大	SNDA	48.39	0.10%
　　盛大游戏	GAME	10.3	1.78%
　　巨人网络	GA	6.87	0.15%
　　畅游	CYOU	33.38	1.15%
　　第九城市	NCTY	7.49	-0.66%
　　完美时空	PWRD	43.7	-0.64%
　　携程网	CTRP	68.07	1.08%
　　金融界	JRJC	9	0.67%
　　艺龙	LONG	16.4	2.24%
　　前程无忧	JOBS	16.66	2.40%
　　掌上灵通	LTON	2.11	0.96%
　　空中网	KONG	13.81	-1.29%
　　华友世纪	HRAY	5.07	1.40%
　　易居中国	EJ	19.19	4.18%
　　如家快捷	HMIN	36.05	1.61%
　　新东方	EDU	72.8	0.12%
　　正保远程教育	DL	7	0.00%
　　华视传媒	VISN	9.27	-1.90%
　　航美传媒	AMCN	6.93	0.43%
　　新华悦动传媒	XSEL	1.11	5.71%
　　永新视博	STV	6.13	0.16%
　　UT斯达康	UTSI	1.9	-5.47%
　　展讯通信	SPRD	4.88	1.67%
　　亚信科技	ASIA	24.98	-0.40%
　　中芯国际	SMI	3.17	0.00%
　　中星微电子	VIMC	4.19	0.24%
　　炬力	ACTS	2.4	0.42%
　　侨兴环球	XING	2.02	-1.94%
　　德信无线	CNTF	3.3	0.30%
　　无锡尚德	STP	15.05	-5.88%
　　文思信息	VIT	17.33	0.12%
　　诺亚舟	NED	5.97	-1.97%
　　中华网	CHINA	2.42	-0.41%
　　CDC软件	CDCS	9.99	-0.89%
　　侨兴移动	QXM	4.63	-2.73%
　　国人通信	GRRF	4	-0.50%

