中国互联网公司周三股价多数下跌
　　新浪科技讯 北京时间6月10日凌晨消息 周三美国股市高开低走盘面震荡，在能源与金融板块拖累下大盘再度尾盘跳水并最终收低。中国互联网公司周三股价多数下跌。
　　美东时间6月9日16:00(北京时间6月10日04:00)，道琼斯工业平均指数下跌40.73点，收于 9,899.25点，跌幅0.41%；纳斯达克综合指数下跌11.72点，收于2,158.85点，跌幅0.54%；标准普尔500指数下跌6.35点，收于1,055.65点，跌幅0.60%。
　　股票名称  	股票代码  	最新价  		涨跌幅
　　新浪 	SINA 	35.63		1.34%
　　CRIC 	CRIC 	7.66		0.79%
　　网易 	NTES 	29.68		-2.21%
　　搜狐 	SOHU 	42.64		0.00%
　　百度 	BIDU 	67.4		-4.38%
　　分众传媒 	FMCN 	15.71		3.77%
　　盛大 	SNDA 	42.31		-0.75%
　　盛大游戏 	GAME 	5		-3.29%
　　巨人网络 	GA 	7.12		-0.56%
　　畅游 	CYOU 	28.01		2.75%
　　第九城市 	NCTY 	3.91		-4.63%
　　完美时空 	PWRD 	22.6		-0.35%
　　携程网 	CTRP 	36.29		-0.33%
　　金融界 	JRJC 	7.12		1.71%
　　艺龙 	LONG 	12.78		-4.05%
　　前程无忧 	JOBS 	19.68		-1.50%
　　掌上灵通 	LTON 	1.39		-5.44%
　　空中网 	KONG 	6.16		-0.48%
　　华友世纪 	HRAY 	3.38		0.00%
　　易居中国 	EJ 	13.53		-1.60%
　　如家快捷 	HMIN 	37.99		2.59%
　　7天连锁 	SVN 	10.34		-1.43%
　　新东方 	EDU 	89.35		-0.46%
　　正保远程教育 	DL 	4.36		0.58%
　　华视传媒 	VISN 	2.55		-2.30%
　　航美传媒 	AMCN 	3.97		0.76%
　　新华悦动传媒 	XSEL 	0.33		-2.65%
　　永新视博 	STV 	5.42		2.26%
　　UT斯达康 	UTSI 	1.77		3.51%
　　展讯通信 	SPRD 	8.94		-2.93%
　　亚信科技 	ASIA 	19.8		-2.17%
　　中芯国际 	SMI 	4		-2.68%
　　中星微电子 	VIMC 	4.81		0.21%
　　炬力 	ACTS 	2.05		-0.97%
　　侨兴环球 	XING 	1.5		7.14%
　　德信无线 	CNTF 	2.36		-4.84%
　　无锡尚德 	STP 	8.67		-1.03%
　　文思信息 	VIT 	21		0.10%
　　诺亚舟 	NED 	4.06		-0.98%
　　中华网 	CHINA 	1.88		0.00%
　　CDC软件 	CDCS 	8.19		0.61%
　　侨兴移动 	QXM 	2.45		2.51%
　　国人通信 	GRRF 	1.69		0.60%
　　汉庭连锁酒店 	HTHT 	14.08		1.29%

