中国互联网公司周五收盘多数下跌
　　新浪科技讯 北京时间周六凌晨消息 因最新公布的两份经济报告令人失望以及受高盛或将受到刑事犯罪调查消息影响，美股周五大幅下跌，道指下跌了150余点，标准普尔500指数跌幅超出了 2%。中国互联网公司股价多数下跌。
　　截至收盘(北京时间凌晨4:00)，道琼斯工业平均指数下跌了158.71点，至11008.61点，跌幅为 1.42%；纳斯达克综合指数下跌了50.73点，至2461.19点，跌幅为2.02%；标准普尔500指数下跌了20.10点，至1186.68点，跌幅为1.67%。
　　股票名称  	股票代码  	最新价  		涨跌幅
　　新浪 	SINA 	36.7		1.24%
　　CRIC 	CRIC 	8.26		0.98%
　　网易 	NTES 	34.91		-1.69%
　　搜狐 	SOHU 	48.15		-0.66%
　　百度 	BIDU 	688.96		-2.95%
　　分众传媒 	FMCN 	16.78		-1.06%
　　盛大 	SNDA 	45.34		-0.02%
　　盛大游戏 	GAME 	7		0.72%
　　巨人网络 	GA 	7.56		-1.18%
　　畅游 	CYOU 	32.8		-1.91%
　　第九城市 	NCTY 	6.45		-0.31%
　　完美时空 	PWRD 	33.47		-3.35%
　　携程网 	CTRP 	36.52		-2.67%
　　金融界 	JRJC 	7.5		-1.70%
　　艺龙 	LONG 	11.21		-1.49%
　　前程无忧 	JOBS 	20.16		0.35%
　　掌上灵通 	LTON 	1.66		0.61%
　　空中网 	KONG 	7.27		-1.76%
　　华友世纪 	HRAY 	3.46		-5.21%
　　易居中国 	EJ 	16.81		-1.58%
　　如家快捷 	HMIN 	34.84		-1.39%
　　7天连锁 	SVN 	10.5		1.25%
　　新东方 	EDU 	93.57		0.09%
　　正保远程教育 	DL 	5.12		0.39%
　　华视传媒 	VISN 	4.29		-0.69%
　　航美传媒 	AMCN 	6.41		-1.08%
　　新华悦动传媒 	XSEL 	0.67		4.52%
　　永新视博 	STV 	6.71		-5.23%
　　UT斯达康 	UTSI 	2.84		-10.13%
　　展讯通信 	SPRD 	6.7		-0.74%
　　亚信科技 	ASIA 	28.41		-6.61%
　　中芯国际 	SMI 	5.32		-2.56%
　　中星微电子 	VIMC 	4.54		-0.87%
　　炬力 	ACTS 	2.39		-0.42%
　　侨兴环球 	XING 	1.7		-1.73%
　　德信无线 	CNTF 	2.38		-0.83%
　　无锡尚德 	STP 	13.56		-1.52%
　　文思信息 	VIT 	23.85		-0.29%
　　诺亚舟 	NED 	4.28		-8.55%
　　中华网 	CHINA 	2.66		0.00%
　　CDC软件 	CDCS 	9.63		-3.12%
　　侨兴移动 	QXM 	2.66		0.38%
　　国人通信 	GRRF 	2.41		-1.63%
　　汉庭连锁酒店 	HTHT 	15.09		-0.26%

