被曝光的23家网上黑药店
　　本次曝光的23家网上黑药店 
　　序号 网站名单 网站标示的单位 网站销售的产品 声称治疗的疾病
　　1 www.jlylw.com/ 国家益元医学研究院、中国中医药疑难病研究总院 鱼鳞王胶囊 皮肤病
　　2 www.tnb3120.com/ 中国中医糖尿病研究总院 中华活胰宝胶囊 糖尿病
　　3 www.08bdfw.com/ 国际白癜风科研中心(北京)康复总院 夫佰清白癜风丸 白癜风
　　4 www.ggt2008.com/ 中国国际医促会骨病研究院股骨头坏死研究中心 诺美·活骨素 股骨头坏死
　　5 www.dzmy.com/ 北京市中医药研究院脑病治疗中心 益智通脑中药颗粒 帕金森氏症、脑萎缩
　　6 www.gxy010.com.cn 中华国际生物医学研究院高血压研究中心 参脉降压宁 高血压
　　7 www.010xt.com/ 北京大学附属皮肤病研究院狐臭治疗中心 香体腋清胶囊 狐臭
　　8 www.goodman.cn/ 万宁(美国)国际贸易有限公司 GOODMAN 性功能障碍
　　9 www.jq55.com/ 北京华山皮肤病治疗中心 脚气清胶囊、足愈王粉剂 皮肤病
　　10 www.gbjk120.cn/ 中国航天风湿骨病研究中心 强脊益肾胶囊 强直性脊柱炎
　　11 www.qsydk.com/ 中国中医基因药物研究总院糖尿病专研中心 强肾胰岛康胶囊 糖尿病
　　12 www.315tf.cn/ 中研痛风病康复研究院 诺痹欣 痛风
　　13 www.lbwy99.com 中国高血压病理研究总院 稳压肽 高血压
　　14 www.010qhc.com 中国狐臭病康复总院 瑞清胶囊、舒贝克胶囊 狐臭
　　15 www.psx518.com 中国北京医药生物基因研究院 百草皮毒康 皮肤病
　　16 www.hbv110.com 中国中医药大学附属肝病药物研究所 强效基因排毒系列 肝病
　　17 www.jcycom.com 中国国际结肠病康复研究院 整肠素 结肠病
　　18 www.010hcw.com 中国狐臭病康复总院 瑞清胶囊、舒贝克胶囊 狐臭
　　19 www.jk120w.cn 中国中医研究院女性生理专研总院 祛瘤素、乳康 子宫肌瘤、乳腺病
　　20 www.67461706.cn 中国中医药心脑血管病研究总院 南极海藻心脑通络胶囊 心脑血管疾病
　　21 www.315lfs.com 国际联盟类风湿康复总院 瑞痹泰 类风湿
　　22 www.12315tf.cn 中国国际痛风病专研中心 痹康肽 痛风
　　23 www.nrgnqkfw.cn/12315tf/ 北京医科大学骨病康复研究院 诺骨肽 股骨头坏死 


