中国概念股周四涨跌互现 正保远程教育大涨12%
　　新浪科技讯 北京时间7月29日凌晨消息，周四美国股市收盘涨跌不一。美国众议院议长约翰-博纳敦促两党议员支持他提出的备选方案，但该方案遭到参议院反对。中国概念股涨跌互现，正保远程教育大涨11.64%报3.26美元；诺亚舟大涨18.10%报2.48美元；当当网跌 5.23%报11.23美元创52周新低。
　　另外，世纪佳缘涨7.86%报14.95美元；锐迪科微电子涨6.88%报9.16美元；华视传媒涨5.99%报2.83美元，淘米涨3.99%报16.40美元。麦考林跌7.55%报3.06美元。
　　美东时间7月28日16:00(北京时间7月29日04:00)，道琼斯工业平均指数下跌62.44点，收于12,240.11点，跌幅0.51%；纳斯达克综合指数上涨1.46点，收于2,766.25点，涨幅0.05%；标准普尔500指数下跌4.22点，收于1,300.67点，跌幅0.32%。
　　股票　最新价　涨跌幅
　　新浪　111.04　0.33%
　　CRIC　6.33　-3.06%
　　网易　50.43　-0.43%
　　搜狐　88.88　1.33%
　　百度　158.34　-1.80%
　　分众传媒　33.31　0.24%
　　盛大　35.1　-2.36%
　　盛大游戏　6.23　1.14%
　　巨人网络　7.9　-2.47%
　　畅游　50.72　1.93%
　　第九城市　5.65　-0.70%
　　完美世界　19.75　0.41%
　　携程网　45.98　-0.19%
　　金融界　3.19　0.63%
　　艺龙　22.95　-0.86%
　　前程无忧　67.37　3.73%
　　掌上灵通　1.02　1.99%
　　空中网　5.03　-0.40%
　　酷6传媒　3.01　-1.31%
　　易居中国　7.78　-5.70%
　　华视传媒　2.83　5.99%
　　航美传媒　3.21　-2.13%
　　永新视博　4.84　-2.42%
　　UT斯达康　1.36　0.74%
　　展讯通信　13.24　-2.14%
　　亚信科技　15.93　3.24%
　　中芯国际　3.02　2.03%
　　中星微电子　1.58　3.27%
　　炬力　2.02　-3.81%
　　侨兴环球　1.29　-3.01%
　　泰克飞石　4.18　0.24%
　　文思信息　20.7　0.49%
　　诺亚舟　2.48　18.10%
　　中华网　2.06　-0.48%
　　CDC软件　4.36　2.59%
　　侨兴移动　1.95　1.04%
　　国人通信　2.04　0.00%
　　联游网络　0.98　-1.01%
　　BCD半导体　7.1　1.14%
　　学而思　12.8　0.08%
　　学大教育　8.93　-0.11%
　　正保远程教育　3.26　11.64%
　　新东方　122.08　-2.16%
　　搜房网　20.87　0.24%
　　蓝汛　7.79　-1.14%
　　高德软件　16.5　0.00%
　　麦考林　3.06　-7.55%
　　优酷网　36.55　0.77%
　　当当网　11.23　-5.23%
　　斯凯　7.63　-1.04%
　　软通动力　13.08　1.00%
　　创博国际　3.17　2.16%
　　海辉软件　13.9　0.58%
　　奇虎360　23.78　-1.00%
　　世纪互联　12.9　-1.15%
　　人人公司　10.78　2.86%
　　网秦　7.26　0.28%
　　世纪佳缘　14.95　7.86%
　　凤凰新媒体　10.41　2.06%
　　淘米　16.4　4.00%

