中国概念股周四普跌 当当网逆势大涨11.87%
　　新浪科技讯 北京时间12月24日凌晨消息，周四美国股市收盘涨跌不一，道指再创两年多以来收盘新高。由于节假日已至，经济数据好坏参半，投资者大多不愿在节假日前调整仓位。中国概念股今日普遍下跌，当当网逆势大涨11.87%报27.70美元，大华建设则大跌14.78%报1.73美元。
　　另外，优酷网涨6.35%报34.67美元。
　　美东时间12月23日16:00(北京时间12月24日05:00)，道琼斯工业平均指数上涨14.00点，收于11,573.49点，涨幅0.12%；纳斯达克综合指数下跌5.88点，收于2,665.60点，跌幅0.22%；标准普尔500指数下跌2.07点，收于1,256.77点，跌幅0.16%。
　　道指创造了2008年8月29日以来最高收盘价；盘中道指最高曾攀升至11,580.84点，创两年以来盘中新高。金融板块普遍走低。电讯与原材料板块表现好于大盘。
　　股票　最新价　涨跌幅
　　新浪　70.89　-0.15%
　　CRIC　8.98　-1.75%
　　网易　36.04　-0.08%
　　搜狐　65　-0.20%
　　百度　100.16　-0.34%
　　分众传媒　21.42　-3.03%
　　盛大　39.45　-0.93%
　　盛大游戏　6.13　-0.81%
　　巨人网络　7.07　-0.28%
　　畅游　27.34　-1.30%
　　第九城市　6.47　0.15%
　　完美时空　22.59　-1.44%
　　携程网　41.75　-1.09%
　　金融界　6.63　-2.36%
　　艺龙　18.45　-1.07%
　　前程无忧　50　-1.38%
　　掌上灵通　1.61　-3.59%
　　空中网　6.81　-1.73%
　　酷6传媒　5.94　-0.83%
　　易居中国　14.61　-1.48%
　　如家快捷　42.21　-0.87%
　　7天连锁　22.13　0.87%
　　新东方　106.04　-2.17%
　　正保远程教育　4　-0.74%
　　华视传媒　4.09　-1.21%
　　航美传媒　6.3　-1.25%
　　新华悦动传媒　0.18　1.74%
　　永新视博　7.19　-0.83%
　　UT斯达康　1.95　-2.01%
　　展讯通信　18.6　-0.27%
　　亚信科技　16.69　-2.17%
　　中芯国际　3.75　-2.85%
　　中星微电子　3.74　1.08%
　　炬力　2.11　0.00%
　　侨兴环球　1.8　-1.10%
　　德信无线　3.85　0.00%
　　无锡尚德　8.21　1.11%
　　文思信息　34.45　-1.06%
　　诺亚舟　2.02　2.02%
　　中华网　3.29　-2.08%
　　CDC软件　6.07　1.68%
　　侨兴移动　3.39　-1.17%
　　国人通信　2.98　2.34%
　　汉庭连锁酒店　21.66　-1.05%
　　大华建设　1.73　-14.78%
　　搜房网　75.3　0.87%
　　蓝汛　21.3　-2.83%
　　高德软件　17.88　0.22%
　　麦考林　6.9　-1.43%
　　优酷网　34.67　6.35%
　　当当网　27.7　11.87%
　　博纳影业　5.86　-1.01%
　　斯凯　5.56　2.02%
　　软通动力　17.39　-0.86%

