中国互联网公司周三多数下跌
　　新浪科技讯 北京时间5月6日凌晨消息 受到欧洲债务危机继续升级的不利影响，周三美国股市收低，盘中局面震荡。标普500指数收于6周以来最低水平。中国互联网公司多数下跌。
　　美东时间周三16:00(北京时间5月6日04:00)，道琼斯工业平均指数下跌59.94点，收于10,866.83点，跌幅0.55%；纳斯达克综合指数下跌21.96点，收于2,402.29点，跌幅0.91%；标准普尔500指数下跌7.73点，收于1,165.87点，跌幅0.66%。
　　股票名称	股票代码	最新价	涨跌幅
　　新浪	SINA	34.5	1.08%
　　CRIC	CRIC	8.19	-0.49%
　　网易	NTES	32.78	0.09%
　　搜狐	SOHU	46.29	-0.06%
　　百度	BIDU	689.53	-0.50%
　　分众传媒	FMCN	15.14	-4.72%
　　盛大	SNDA	45.07	2.06%
　　盛大游戏	GAME	6.54	6.51%
　　巨人网络	GA	7.37	-0.94%
　　畅游	CYOU	31.06	-0.89%
　　第九城市	NCTY	5.97	-3.71%
　　完美时空	PWRD	31.28	-4.14%
　　携程网	CTRP	35.48	-3.03%
　　金融界	JRJC	7.2	-0.83%
　　艺龙	LONG	11.05	-0.18%
　　前程无忧	JOBS	19	-4.33%
　　掌上灵通	LTON	1.58	-3.66%
　　空中网	KONG	6.95	-1.42%
　　华友世纪	HRAY	3.53	-1.94%
　　易居中国	EJ	15.12	2.51%
　　如家快捷	HMIN	32.83	-1.47%
　　7天连锁	SVN	9.78	1.45%
　　新东方	EDU	91.05	-3.59%
　　正保远程教育	DL	5.43	-1.27%
　　华视传媒	VISN	3.86	-3.02%
　　航美传媒	AMCN	5.34	-2.91%
　　新华悦动传媒	XSEL	0.62	-7.45%
　　永新视博	STV	6.37	-2.00%
　　UT斯达康	UTSI	2.58	-5.84%
　　展讯通信	SPRD	7.58	2.02%
　　亚信科技	ASIA	25.28	-4.68%
　　中芯国际	SMI	4.87	-2.60%
　　中星微电子	VIMC	4.46	-0.22%
　　炬力	ACTS	2.32	-0.43%
　　侨兴环球	XING	1.7	5.59%
　　德信无线	CNTF	2.2	-2.22%
　　无锡尚德	STP	12.29	-5.68%

