中国概念股周三涨跌互现
　　新浪科技讯 北京时间5月26日凌晨消息，在连续三日下跌之后，周三美国股市尾盘发力，最终收高。一份经济数据表明美国上周原油库存增加，原油期货价格收在101美元之上。中国概念股涨跌互现，空中网受一季度财报影响下跌6.60%报6.37美元；网秦跌4.96%报5.36美元再创新低。
　　奇虎跌5.41%报26.77美元；中芯国际跌5.26%报4.14美元；联游网络跌5.11%报1.30美元；高德软件跌7.75%报15.72美元。另外，展讯通信涨8.58%报20.05美元；锐迪科微电子涨8.37%报10.87美元。
　　美东时间5月25日16:00(北京时间5月26日04:00)，道琼斯工业平均指数上涨38.45点，收于12,394.66点，涨幅0.31%；纳斯达克综合指数上涨15.22点，收于2,761.38点，涨幅0.55%；标准普尔500指数上涨4.20点，收于1,320.48点，涨幅0.32%。
　　股票　最新价　涨跌幅
　　新浪　112　2.28%
　　CRIC　6.43　-2.72%
　　网易　44.52　1.85%
　　搜狐　80.44　2.64%
　　百度　129.54　0.22%
　　分众传媒　32.19　1.87%
　　盛大　42.23　2.50%
　　盛大游戏　6.87　1.78%
　　巨人网络　7.96　1.01%
　　畅游　40.13　0.25%
　　第九城市　6.18　0.24%
　　完美世界　25.57　-2.74%
　　携程网　42.81　-0.74%
　　金融界　4.71　-1.26%
　　艺龙　24.23　-1.58%
　　前程无忧　56.87　1.23%
　　掌上灵通　1.03　0.00%
　　空中网　6.37　-6.60%
　　酷6传媒　3.83　-3.04%
　　易居中国　10.19　-1.74%
　　华视传媒　3.99　1.27%
　　航美传媒　3.7　-3.39%
　　永新视博　6.18　0.49%
　　UT斯达康　2　-0.50%
　　展讯通信　20.05　8.58%
　　亚信科技　16.54　-4.72%
　　中芯国际　4.14　-5.26%
　　中星微电子　2.65　-1.12%
　　炬力　2.2　1.38%
　　侨兴环球　1.75　-0.57%
　　德信无线　5.68　-4.22%
　　文思信息　21.7　-1.00%
　　诺亚舟　2.5　0.40%
　　中华网　2.52　0.00%
　　CDC软件　4.79　-0.83%
　　侨兴移动　2.61　-0.76%
　　国人通信　2.33　0.87%
　　联游网络　1.3　-5.11%
　　BCD半导体　9.21　-3.56%
　　搜房网　21.07　0.86%
　　蓝汛　12.36　4.66%
　　高德软件　15.72　-7.75%
　　麦考林　3.52　-1.95%
　　优酷网　43.38　-0.55%
　　当当网　19.67　-1.25%
　　斯凯　8.57　1.54%
　　软通动力　15.53　3.33%
　　创博国际　3.84　-2.79%
　　海辉软件　13.85　-0.79%
　　奇虎360　26.77　-5.41%
　　世纪互联　11.31　-2.58%
　　人人公司　12.35　0.73%
　　网秦　5.36　-4.96%
　　世纪佳缘　14.98　-1.64%
　　凤凰新媒体　11.31　-1.22%

