中国概念股周一普涨 搜狐和畅游涨幅均超11%
　　新浪科技讯 北京时间10月26日凌晨消息 受尾盘卖盘影响，美股涨幅迅速缩小，主要股指收盘时回吐了盘中大部分涨幅。中国概念股普遍上涨，新浪涨5.4%创52周新高，搜狐和畅游受三季度财报影响分别上涨13.94%和11.11%。
　　截至收盘(北京时间凌晨4：00)，道琼斯工业平均指数上涨了31.49点，至11164.05点，涨幅为0.28%；标准普尔500指数上涨了2.54点，至1185.62点，涨幅为0.21%；纳斯达克综合指数上涨了11.46点，至2490.85点，涨幅为0.46%。
　　中国概念股周一普遍上涨。其中，新浪涨5.4%，报56.82美元，创52周新高；搜狐第三季财报超预期刺激其股价涨13.94%，报74.93美元，创52周新高；畅游发布三季财报影响其股价涨11.11%，报36美元。
　　股票　最新价　涨跌幅
　　新浪　56.82　5.40%
　　CRIC　10.11　3.16%
　　网易　42.37　6.62%
　　搜狐　74.93　13.94%
　　百度　109.75　2.31%
　　分众传媒　24.63　3.23%
　　盛大　40.04　0.48%
　　盛大游戏　6.61　0.30%
　　巨人网络　6.83　2.09%
　　畅游　36　11.11%
　　第九城市　5.11　-1.73%
　　完美时空　28.95　3.36%
　　携程网　52　2.10%
　　金融界　8.28　1.97%
　　艺龙　17.9　1.88%
　　前程无忧　46.54　6.87%
　　掌上灵通　1.4　-1.41%
　　空中网　7.45　0.68%
　　酷6传媒　4.9　5.15%
　　易居中国　17.3　-1.70%
　　如家快捷　51.25　0.02%
　　7天连锁　19.81　2.91%
　　新东方　102.87　4.32%
　　正保远程教育　5.16　-1.71%
　　华视传媒　4.97　7.11%
　　航美传媒　6.73　8.03%
　　新华悦动传媒　0.24　4.85%
　　永新视博　7.07　0.43%
　　UT斯达康　2.15　-4.02%
　　展讯通信　13.8　7.48%
　　亚信科技　20.61　2.28%
　　中芯国际　4.2　1.20%
　　中星微电子　3.82　-0.52%
　　炬力　2.1　0.00%
　　侨兴环球　1.77　3.50%
　　德信无线　3.95　-0.25%
　　无锡尚德　8.79　1.03%
　　文思信息　35.93　2.86%
　　诺亚舟　2.09　0.37%
　　中华网　4.55　1.56%
　　CDC软件　8.05　5.64%
　　侨兴移动　3.72　0.27%
　　国人通信　2.24　1.36%
　　汉庭连锁酒店　25.85　1.57%
　　大华建设　0.76　-7.28%
　　搜房网　80.13　0.28%
　　蓝汛　25.02　6.24%
　　高德软件　19.25　1.32%

