中国概念股周四全线暴跌 33只股票跌幅超5%
　　新浪科技讯 北京时间8月5日凌晨消息，周四美国股市大幅下跌，道指收盘重挫512点。市场对全球经济疲软的担心情绪导致投资者迅速撤离、股市重挫，两年期国债收益率降至历史新低。中国概念股全线大跌，33只股票跌幅超5%。
　　人人、优酷、当当、畅游等11只个股大跌10%以上。空中网、中华网软件、盛大网络、当当、酷6传媒、侨兴移动、航美传媒等8只股票创下52周新低。
　　美东时间8月4日16:00(北京时间8月5日04:00)，道琼斯工业平均指数下跌512.53点，报11,383.91点，跌幅4.31%；纳斯达克综合指数下跌136.68点，报2,556.39点，跌幅5.08%；标准普尔500指数下跌60.24点，报1,200.10点，跌幅4.78%。
　　道指已经跌破2010年年底收盘点位。标普500指数较2010年12月31日收盘点位已经下跌了2.6%，自然资源与能源板块跌幅领先。纳指较去年年底收盘点位下跌了1.5%。
　　日本日经225指数收高0.2%。周四亚洲股市大多下跌。欧洲股市收于13个月新低。(飞宇)
　　　　股票 最新价 涨跌幅
　　　　新浪 90.79　-9.09%
　　　　CRIC　6.27　0.32%
　　　　网易 43.9　-7.13%
　　　　搜狐 73.29　-7.83%
　　　　百度 143.92　-5.58%
　　　　分众传媒 29.43　-5.85%
　　　　盛大 31.97　-8.29%
　　　　盛大游戏 5.42　-3.21%
　　　　巨人网络 7.28　-0.55%
　　　　畅游 41.05　-11.07%
　　　　第九城市 5.25　-2.78%
　　　　完美世界 17.44　-6.29%
　　　　携程网 38.19　-3.58%
　　　　金融界 2.91　-3.64%
　　　　艺龙 20.03　-11.96%
　　　　前程无忧 58.09　-4.57%
　　　　掌上灵通 0.9　-8.26%
　　　　空中网 4.22　-10.78%
　　　　酷6传媒 2.56　-5.88%
　　　　易居中国 6.85　-7.81%
　　　　华视传媒 2.34　-3.31%
　　　　航美传媒 2.78　-7.02%
　　　　永新视博 4.7　-6.75%
　　　　UT斯达康 1.37　-6.80%
　　　　展讯通信 13.23　-7.42%
　　　　亚信科技 12.91　-9.09%
　　　　中芯国际 2.76　-3.50%
　　　　中星微电子 1.5　-1.32%
　　　　炬力 2.02　-2.41%
　　　　侨兴环球 1.04　-11.11%
　　　　泰克飞石 3.8　-5.94%
　　　　文思信息 18.45　-1.91%
　　　　诺亚舟 2.05　2.50%
　　　　中华网 1.42　-12.35%
　　　　CDC软件 4.3　0.47%
　　　　侨兴移动 1.69　-9.14%
　　　　国人通信 1.87　-5.56%
　　　　联游网络 0.8　-13.04%
　　　　BCD半导体 6.07　-11.00%
　　　　学而思 11.61　-3.89%
　　　　学大教育 8.56　-0.70%
　　　　正保远程教育 2.88　1.01%
　　　　新东方 110.9　-5.96%
　　　　搜房网 19.7　-1.65%
　　　　蓝汛 7.36　-7.19%
　　　　高德软件 16.15　-2.12%
　　　　麦考林 2.18　-8.79%
　　　　优酷网 28.94　-12.99%
　　　　当当网 9.18　-10.35%
　　　　斯凯 5.76　-14.41%
　　　　软通动力 12.14　0.91%
　　　　创博国际 4　-1.48%
　　　　海辉软件 12.2　-5.72%
　　　　奇虎360　20.43　-2.48%
　　　　世纪互联 13.23　-0.08%
　　　　人人公司 8.05　-15.53%
　　　　网秦 7.19　-5.02%
　　　　世纪佳缘 13.72　-7.61%
　　　　凤凰新媒体 9.11　-1.62%
　　　　淘米 13.29　0.68%

