美股周四小幅上扬中国概念股多数上涨
　　新浪科技讯 北京时间5月15日凌晨消息，由于投资者在美股昨日大跌后逢低买进金融与零售股，美股周四小幅上扬。中国概念股今日在纳斯达克多数上涨，三公司股票涨浮超10%。
　　截至收盘，道琼斯工业平均指数上涨了46.43点，至8331.32点，涨幅为0.56%；纳斯达克综合指数上涨了25.02点，至1689.21点，涨幅为1.50%，标准普尔500指数上涨了9.15点，至893.07点，涨幅为1.04%。
　　中国概念股今日在纳斯达克多数上涨，其中，灵通网股票受投资者看好，受该消息刺激大涨28.47%，报收于1.85美元；国人通信大涨12.39%，报收于2.45美元；侨兴移动大涨11.11%，报收于3.50美元。
　　股票 股价 涨跌幅
　　新浪 26.660 1.640%
　　网易 30.550 -0.970%
　　搜狐 53.160 1.280%
　　百度 234.600 1.560%
　　分众传媒 7.480 4.910%
　　盛大 49.510 2.270%
　　巨人网络 8.040 -1.710%
　　畅游 29.400 7.850%
　　第九城市 9.150 0.770%
　　完美时空 18.340 2.860%
　　携程网 36.870 0.490%
　　金融界 11.810 5.070%
　　艺龙 6.550 0.310%
　　前程无忧 8.690 0.580%
　　掌上灵通 1.850 28.470%
　　空中网 7.630 5.680%
　　华友世纪 2.800 4.480%
　　易居中国 12.490 8.610%
　　如家快捷 14.330 -1.510%
　　新东方 53.200 0.380%
　　正保远程教育 4.570 -0.650%
　　华视传媒 5.030 -1.370%
　　航美传媒 5.720 -5.300%
　　新华悦动传媒 0.650 1.560%
　　永新视博 7.930 -4.920%
　　UT斯达康 1.600 1.910%
　　展讯通信 1.640 -1.200%
　　亚信科技 16.300 0.180%
　　中芯国际 2.190 1.390%
　　中星微电子 1.790 3.470%
　　炬力 1.880 -1.570%
　　侨兴环球 1.920 0.000%
　　德信无线 1.650 7.840%
　　无锡尚德 14.730 4.770%
　　诺亚舟 3.300 3.120%
　　中华网 1.220 1.670%


