美股周一低收中国概念股涨跌互现
　　新浪科技讯 美国东部时间3月16日下午(北京时间3月17日早)消息，受金融板块回落以及投资者获利回吐影响，美股周一低收。美股此前已连续4个交易日上涨，涨幅达到10%以上，美股在许多年里，全年涨幅也不超过10%。中国概念股今日在纳斯达克涨跌互现。
　　截至收盘，道琼斯工业平均指数下跌了7.01点，报收7216.97点，跌幅0.10%。标准普尔500指数下跌2.66点，报收753.89点，跌幅0.35%。纳斯达克综合指数下跌27.48点，报收1404.02点，跌幅1.92%。
　　中国概念股周一涨跌互现，其中，九城、华友世纪、易居中国三公司股票涨幅超10%，分别上涨11.37%、15.18%和16.32%。
　　股票 股价 涨跌幅 
　　新浪 19.620 -6.660% 
　　网易 21.750 -2.160% 
　　搜狐 45.170 -6.730% 
　　百度 161.340 -6.560% 
　　分众传媒 5.470 -4.700% 
　　盛大 34.820 -4.100% 
　　巨人网络 7.280 -1.090% 
　　第九城市 12.930 11.370% 
　　完美时空 12.690 2.920% 
　　携程网 26.000 -7.830% 
　　金融界 8.830 -3.500% 
　　艺龙 5.910 3.680% 
　　前程无忧 6.240 -7.140% 
　　掌上灵通 1.240 5.080% 
　　空中网 5.000 -0.600% 
　　华友世纪 1.290 15.180% 
　　易居中国 7.840 16.320% 
　　如家快捷 9.300 1.750% 
　　新东方 45.610 -2.980% 
　　正保远程教育 5.540 1.460% 
　　华视传媒 5.360 3.080% 
　　航美传媒 4.340 -1.140% 
　　新华财经传媒 0.480 9.090% 
　　永新视博 7.050 -1.810% 
　　UT斯达康 0.740 5.710% 
　　展讯通信 0.950 6.740% 
　　亚信科技 13.100 -2.460% 
　　中芯国际 1.720 0.580% 
　　中星微电子 1.790 2.290% 
　　炬力 1.420 0.000% 
　　侨兴环球 1.320 8.200% 
　　德信无线 1.180 -0.840% 
　　无锡尚德 6.910 0.440% 
　　文思信息 4.530 -5.620% 
　　诺亚舟 3.400 3.660% 
　　中华网 0.920 1.100% 


