周一中国互联网公司涨跌互现
　　新浪科技讯 北京时间8月17日凌晨消息，周一美国股市收盘涨跌不一。尽管科技行业传出了并购交易消息，但美国制造业数据、住宅建筑商信心指数以及日本GDP等令人失望的经济数据导致市场信心受挫。
　　美东时间8月16日16:00(北京时间8月17日04:00)，道琼斯工业平均指数下跌1.14点，收于10,302.01点，跌幅 0.01%；纳斯达克综合指数上涨8.39点，收于2,181.87点，涨幅0.39%；标准普尔500指数上涨0.13点，收于1,079.38点，涨幅0.01%。
　　股票名称  	最新价   	涨跌幅 
　　新浪 42.50　-0.91%
　　CRIC　8.22 　+1.23%
　　网易 38.00　+1.99%
　　搜狐 46.37　-0.19%
　　百度 84.35　+1.84%
　　分众传媒 17.69　-0.06%
　　盛大 42.89　-0.09%
　　盛大游戏 6.61　-0.30%
　　巨人网络 6.19　-1.59%
　　畅游 27.30　-0.33%
　　第九城市 5.03　-1.76%
　　完美时空 24.81　-0.20%
　　携程网 40.34　+0.90%
　　金融界 7.98　+0.38%
　　艺龙 13.40　+0.07%
　　前程无忧 27.81　+5.10%
　　掌上灵通 1.52　-3.18%
　　空中网 6.00　+1.35%
　　酷6传媒 2.98　+4.93%
　　易居中国 15.42　-1.59%
　　如家快捷 43.01　+2.43%
　　7天连锁 13.97　+1.53%
　　新东方 96.08　+0.38%
　　正保远程教育 5.16 　+1.38%
　　华视传媒 3.72　0.00%
　　航美传媒 3.97　-10.18%
　　新华悦动传媒 0.25　-9.09%
　　永新视博 6.16　+0.82%
　　UT斯达康 2.02　+0.50%
　　展讯通信 10.12　-1.84%
　　亚信科技 20.63　+0.34%
　　中芯国际 3.38　-2.03%
　　中星微电子 3.77　-2.08%
　　炬力 2.18　-0.91%
　　侨兴环球 1.51　-0.66%
　　德信无线 3.07　+4.07%
　　无锡尚德 8.61　-1.60%
　　文思信息 26.21　-0.72%
　　诺亚舟 2.54　-0.39%
　　中华网 1.54　-6.10%
　　CDC软件 5.95-　1.00%
　　侨兴移动 2.56　-4.48%
　　国人通信 2.06　-2.83%
　　汉庭连锁酒店 19.12　-0.47%

