中国概念股周一早盘几乎全线下跌
　　新浪科技讯 美国东部时间9月15日(北京时间9月15日)消息，由于雷曼兄弟公司破产和美林公司被收购引发投资者对美国金融业的担忧，15日纽约股市开盘后三大股指均大幅下跌近3%。美股在周一上午大幅下跌，虽然当前有所反弹，但仍维持大部分跌幅。纳斯达克综合指数下跌了26.01点，至2235.26点，跌幅为1.15%，中国概念股几乎全线下跌。(蓝俊) 
　　股票 股价 涨跌幅 
　　新浪 39.040 -0.150% 
　　网易 22.480 -0.440% 
　　搜狐 58.060 -4.990% 
　　百度 278.480 -1.250% 
　　分众传媒 25.730 -0.690% 
　　盛大网络 26.780 -2.160% 
　　巨人网络 7.890 1.410% 
　　第九城市 17.590 -2.110% 
　　完美时空 22.870 -2.260% 
　　携程网 41.030 -2.310% 
　　金融界 13.150 -2.300% 
　　亿龙 7.050 -1.120% 
　　前程无忧 10.980 -2.050% 
　　灵通网 1.580 1.940% 
　　空中网 4.060 -0.250% 
　　华友世纪 2.590 -2.630% 
　　易居中国 8.880 -2.900% 
　　如家快捷 13.910 4.590% 
　　新东方 67.230 -1.650% 
　　正保远程教育 3.880 -0.260% 
　　华视传媒 15.320 -5.490% 
　　航美传媒 9.700 -1.520% 
　　新华财经传媒 1.580 -5.710% 
　　永新视博 8.000 -2.790% 
　　UT斯达康 2.780 -3.140% 
　　展讯通信 3.490 -5.160% 
　　亚信 10.220 -3.130% 
　　中芯国际 2.170 -2.250% 
　　中星微 2.580 -3.730% 
　　珠海炬力 2.830 -4.580% 
　　侨兴环球 2.920 -9.320% 
　　德信无线 1.100 -4.340% 
　　无锡尚德 39.100 -4.870% 
　　诺亚舟 4.700 -3.490% 
　　深圳迈瑞 35.210 0.280% 
　　中华网投资集团 2.210 -2.640% 

　　新浪科技讯 美国东部时间9月15日(北京时间9月15日)消息，由于雷曼兄弟公司破产和美林公司被收购引发投资者对美国金融业的担忧，15日纽约股市开盘后三大股指均大幅下跌近3%。美股在周一上午大幅下跌，虽然当前有所反弹，但仍维持大部分跌幅。纳斯达克综合指数下跌了26.01点，至2235.26点，跌幅为1.15%，中国概念股几乎全线下跌。(蓝俊) 
　　股票 股价 涨跌幅 
　　新浪 39.040 -0.150% 
　　网易 22.480 -0.440% 
　　搜狐 58.060 -4.990% 
　　百度 278.480 -1.250% 
　　分众传媒 25.730 -0.690% 
　　盛大网络 26.780 -2.160% 
　　巨人网络 7.890 1.410% 
　　第九城市 17.590 -2.110% 
　　完美时空 22.870 -2.260% 
　　携程网 41.030 -2.310% 
　　金融界 13.150 -2.300% 
　　亿龙 7.050 -1.120% 
　　前程无忧 10.980 -2.050% 
　　灵通网 1.580 1.940% 
　　空中网 4.060 -0.250% 
　　华友世纪 2.590 -2.630% 
　　易居中国 8.880 -2.900% 
　　如家快捷 13.910 4.590% 
　　新东方 67.230 -1.650% 
　　正保远程教育 3.880 -0.260% 
　　华视传媒 15.320 -5.490% 
　　航美传媒 9.700 -1.520% 
　　新华财经传媒 1.580 -5.710% 
　　永新视博 8.000 -2.790% 
　　UT斯达康 2.780 -3.140% 
　　展讯通信 3.490 -5.160% 
　　亚信 10.220 -3.130% 
　　中芯国际 2.170 -2.250% 
　　中星微 2.580 -3.730% 
　　珠海炬力 2.830 -4.580% 
　　侨兴环球 2.920 -9.320% 
　　德信无线 1.100 -4.340% 
　　无锡尚德 39.100 -4.870% 
　　诺亚舟 4.700 -3.490% 
　　深圳迈瑞 35.210 0.280% 
　　中华网投资集团 2.210 -2.640% 


