中国概念股周四全线下跌：5支股票跌幅超10%
　　新浪科技讯 10月24日早消息，因投资者对宏观经济前景仍感到不安，美股周四巨幅振荡，主要股指收盘涨跌互见。中国概念股几乎全线下跌，航美传媒(跌15.9%)、华视传媒(跌15.42%)、中星微(跌11.7%)、百度(跌14.7%)、无锡尚德(跌24%)等五只股票跌幅超过10%。
　　道指在周二与周三的大跌中共下跌750点，华尔街越来越多的人相信，尽管政府出台多项救市措施以及信贷市场出现逐步好转，美国经济已陷入衰退或即将陷入衰退。 
　　纳斯达克综合指数下跌了11.84点，报收1603.91点，跌幅为0.73%。(蓝俊)
　　股票 股价 涨跌幅 
　　新浪 28.970 -4.950% 
　　网易 21.530 -3.370% 
　　搜狐 49.270 -7.680% 
　　百度 212.540 -14.670% 
　　分众传媒 14.150 -4.130% 
　　盛大网络 27.150 -1.880% 
　　巨人网络 6.440 -0.620% 
　　第九城市 13.330 -1.260% 
　　完美时空 18.230 -7.980% 
　　携程网 28.120 -5.860% 
　　金融界 8.160 -8.000% 
　　艺龙 7.100 -3.660% 
　　前程无忧 7.640 -6.260% 
　　灵通网 0.860 -3.370% 
　　空中网 2.810 -2.090% 
　　华友世纪 2.350 -2.080% 
　　易居中国 5.700 5.560% 
　　如家快捷 8.040 0.000% 
　　新东方 55.730 -6.190% 
　　正保远程教育 3.980 -2.930% 
　　华视传媒 8.500 -15.420% 
　　航美传媒 4.670 -15.860% 
　　新华财经传媒 1.120 -4.270% 
　　永新视博 7.240 -8.700% 
　　UT斯达康 1.980 -2.460% 
　　展讯通信 1.310 -5.760% 
　　亚信 10.020 -1.380% 
　　中芯国际 1.010 -4.720% 
　　中星微 1.360 -11.690% 
　　珠海炬力 2.030 -1.460% 
　　侨兴环球 1.970 -9.220% 
　　德信无线 0.890 -9.170% 
　　无锡尚德 15.630 -23.980% 
　　文思信息 6.150 2.330% 
　　诺亚舟 2.970 -2.620% 
　　深圳迈瑞 21.860 -0.680% 
　　CDC 1.360 -4.230 

　　新浪科技讯 10月24日早消息，因投资者对宏观经济前景仍感到不安，美股周四巨幅振荡，主要股指收盘涨跌互见。中国概念股几乎全线下跌，航美传媒(跌15.9%)、华视传媒(跌15.42%)、中星微(跌11.7%)、百度(跌14.7%)、无锡尚德(跌24%)等五只股票跌幅超过10%。
　　道指在周二与周三的大跌中共下跌750点，华尔街越来越多的人相信，尽管政府出台多项救市措施以及信贷市场出现逐步好转，美国经济已陷入衰退或即将陷入衰退。 
　　纳斯达克综合指数下跌了11.84点，报收1603.91点，跌幅为0.73%。(蓝俊)
　　股票 股价 涨跌幅 
　　新浪 28.970 -4.950% 
　　网易 21.530 -3.370% 
　　搜狐 49.270 -7.680% 
　　百度 212.540 -14.670% 
　　分众传媒 14.150 -4.130% 
　　盛大网络 27.150 -1.880% 
　　巨人网络 6.440 -0.620% 
　　第九城市 13.330 -1.260% 
　　完美时空 18.230 -7.980% 
　　携程网 28.120 -5.860% 
　　金融界 8.160 -8.000% 
　　艺龙 7.100 -3.660% 
　　前程无忧 7.640 -6.260% 
　　灵通网 0.860 -3.370% 
　　空中网 2.810 -2.090% 
　　华友世纪 2.350 -2.080% 
　　易居中国 5.700 5.560% 
　　如家快捷 8.040 0.000% 
　　新东方 55.730 -6.190% 
　　正保远程教育 3.980 -2.930% 
　　华视传媒 8.500 -15.420% 
　　航美传媒 4.670 -15.860% 
　　新华财经传媒 1.120 -4.270% 
　　永新视博 7.240 -8.700% 
　　UT斯达康 1.980 -2.460% 
　　展讯通信 1.310 -5.760% 
　　亚信 10.020 -1.380% 
　　中芯国际 1.010 -4.720% 
　　中星微 1.360 -11.690% 
　　珠海炬力 2.030 -1.460% 
　　侨兴环球 1.970 -9.220% 
　　德信无线 0.890 -9.170% 
　　无锡尚德 15.630 -23.980% 
　　文思信息 6.150 2.330% 
　　诺亚舟 2.970 -2.620% 
　　深圳迈瑞 21.860 -0.680% 
　　CDC 1.360 -4.230 


