中国概念股周五涨跌互见
　　新浪科技讯 北京时间8月1日早间消息，美股周五收盘涨跌互见，美国政府表示二季度GDP下降了1%，而经济学家此前的预期为下降1.5%。受美股带动，中国概念股涨跌互见。
　　截至收盘，道琼斯工业平均指数上涨了17.15点，至9171.61点，涨幅为0.19%；纳斯达克综合指数下跌了5.80点，至1978.50点，跌幅为0.29%；标准普尔500指数上涨了0.72点，至987.47点，涨幅为0.07%。标准普尔500指数本月涨幅在7%以上，这是该指数连续第5个月收阳。标准普尔500指数在3月上涨了8.5%，在4月上涨了9.4%。中国概念股涨跌互见，普遍涨跌幅比较温和。
　　股票名称 最新价 涨跌幅
　　新浪 33.180 -1.100%
　　网易 44.060 2.870%
　　搜狐 61.170 -2.100%
　　百度 348.140 -1.040%
　　分众传媒 8.750 3.180%
　　盛大 49.580 2.480%
　　巨人网络 8.130 2.910%
　　畅游 36.750 1.830%
　　第九城市 8.730 0.110%
　　完美时空 35.780 -3.300%
　　携程网 51.250 2.250%
　　金融界 12.430 0.570%
　　艺龙 6.780 -3.000%
　　前程无忧 11.230 -3.360%
　　掌上灵通 2.260 -3.830%
　　空中网 12.420 0.570%
　　华友世纪 3.760 -2.590%
　　EJ 17.780 0.000%
　　如家快捷 16.000 -5.490%
　　新东方 73.500 1.770%
　　正保远程教育 8.080 0.500%
　　华视传媒 6.570 -0.150%
　　航美传媒 5.960 0.170%
　　新华悦动传媒 1.310 7.900%
　　永新视博 8.760 -1.460%
　　UT斯达康 1.710 -1.160%
　　展讯通信 3.160 1.940%
　　亚信科技 19.270 0.360%
　　中芯国际 2.650 -1.120%
　　中星微电子 2.520 0.400%
　　炬力 2.270 2.250%
　　侨兴环球 2.230 -2.190%
　　德信无线 2.480 1.640%
　　无锡尚德 18.390 -4.570%
　　诺亚舟 4.830 -0.210%
　　中华网 3.050 -2.240%

