美股周三攀升带动中国概念股普涨
　　新浪科技讯 北京时间1月22日凌晨消息，美股周三大幅上扬，挽回了昨日大部分损失，投资者期望新政府将推出新的经济刺激计划，金融股因此强劲攀升。中国概念股几乎全部上涨。
　　截至收盘，道琼斯工业平均指数上涨了279.01点，至8228.10点，涨幅为3.51%；标准普尔500指数上涨了35.02点，至840.24点，涨幅为4.35%；纳斯达克综合指数上涨了66.21点，至1507.07点，涨幅为4.60%。中国概念股几乎全部上涨，其中，第九城市(Nasdaq: NCTY)大涨13.52%，易居中国(NYSE: EJ)大涨15.49%。
　　股票名称 最新价 涨跌幅 
　　新浪 21.100 5.500% 
　　网易 17.600 1.910% 
　　搜狐 40.270 4.430% 
　　百度 110.920 1.160% 
　　分众传媒 7.000 -5.530% 
　　盛大 27.920 0.290% 
　　巨人网络 5.710 1.960% 
　　第九城市 16.040 13.520% 
　　完美时空 14.990 3.090% 
　　携程网 20.630 3.100% 
　　金融界 7.630 5.680% 
　　艺龙 7.510 -2.470% 
　　前程无忧 6.450 0.000% 
　　掌上灵通 1.250 2.460% 
　　空中网 3.930 2.610% 
　　华友世纪 1.740 0.000% 
　　易居中国 6.560 15.490% 
　　如家快捷 8.140 6.680% 
　　新东方 51.130 1.450% 
　　正保远程教育 4.170 1.710% 
　　华视传媒 6.600 1.230% 
　　航美传媒 5.520 4.740% 
　　新华财经传媒 0.530 1.920% 
　　永新同方 6.360 5.300% 
　　UT斯达康 1.590 9.660% 
　　展讯通信 0.900 -3.240% 
　　亚信科技 9.610 6.900% 
　　中芯国际 1.600 1.910% 
　　中星微电子 2.030 1.500% 
　　炬力 1.480 -2.630% 
　　侨兴环球 1.710 0.000% 
　　德信无线 1.430 4.380% 
　　无锡尚德 9.520 2.260% 
　　文思信息 5.480 -2.490% 
　　诺亚舟 2.590 8.820% 
　　中华网 0.900 -1.100% 


