美股周三小幅下跌中国概念股多数下跌
　　新浪科技讯 北京时间7月30日早间消息，受大宗商品期货下跌、上月耐用品订单降幅高于预期以及国债需求减弱等因素影响，美股周三小幅下跌。中国概念股多数下跌。
　　截至收盘，道琼斯工业平均指数下跌了26.00点，至9070.72点，跌幅为0.29%；纳斯达克综合指数下跌了7.75点，至1967.76点，跌幅为0.39%；标准普尔500指数下跌了4.49点，至975.13点，跌幅为0.46%。中国概念股多数下跌，但涨跌幅度普遍不大。
　　股票名称 最新价 涨跌幅
　　新浪 33.060 -2.020%
　　网易 41.840 0.340%
　　搜狐 60.780 -2.050%
　　百度 344.510 -1.880%
　　分众传媒 8.420 -3.000%
　　盛大 48.080 -3.240%
　　巨人网络 7.840 -1.750%
　　畅游 37.240 -3.710%
　　第九城市 8.400 -1.060%
　　完美时空 34.550 0.730%
　　携程网 47.510 -1.780%
　　金融界 12.000 -1.230%
　　艺龙 7.080 1.140%
　　前程无忧 11.340 -0.440%
　　掌上灵通 2.420 -2.420%
　　空中网 12.170 1.250%
　　华友世纪 3.730 -0.800%
　　EJ 17.140 -8.390%
　　如家快捷 16.440 -3.800%
　　新东方 70.090 0.490%
　　正保远程教育 8.090 0.620%
　　华视传媒 6.380 -3.920%
　　航美传媒 5.530 -5.950%
　　新华悦动传媒 1.170 0.000%
　　永新视博 8.730 0.340%
　　UT斯达康 1.680 -3.450%
　　展讯通信 2.990 -5.080%
　　亚信科技 17.250 -3.790%
　　中芯国际 2.670 -6.320%
　　中星微电子 2.540 -2.310%
　　炬力 2.180 -2.240%
　　侨兴环球 2.340 -0.420%
　　德信无线 2.310 -3.750%
　　无锡尚德 18.670 -2.960%
　　诺亚舟 4.730 -1.050%
　　中华网 2.920 -3.950%

