中国互联网公司股价周四多数上涨
　　新浪科技讯 北京时间8月21日凌晨消息，受金融股，科技与资源股上涨带动，美股周四连续第三个交易日上涨，收盘创本周新高。中国互联网公司股价今日在纳斯达克多数上涨，空中网大涨9.49%。
　　截至收盘，道琼斯工业平均指数上涨70.89点，至9350.05点，涨幅为0.76%；纳斯达克综合指数上涨了19.98点，至1989.22点，涨幅为1.01%；标准普尔500指数上涨了10.91点，至1007.37点，涨幅为1.09%。
　　中国互联网公司周四多数上涨，其中空中网大涨9.49%，上涨1.09美元，报收于12.58美元。
　　股票 	股价 	涨跌幅
　　新浪 	31.16	1.80%
　　网易 	41.74	0.72%
　　搜狐 	63.25	3.69%
　　百度 	339.25	2.56%
　　分众传媒 	9.01	-1.74%
　　盛大 	48.79	4.81%
　　巨人网络 	7.62	1.20%
　　畅游 	37.63	2.62%
　　第九城市 	8.55	2.27%
　　完美时空 	40	4.58%
　　携程网 	50.29	1.07%
　　金融界 	10.8	2.47%
　　艺龙 	7.25	0.00%
　　前程无忧 	13.38	-2.97%
　　掌上灵通 	2.1	-1.41%
　　空中网 	12.58	9.49%
　　华友世纪 	3.5	0.00%
　　易居中国 	19.1	0.10%
　　如家快捷 	26	6.38%
　　新东方 	74.07	3.05%
　　正保远程教育 	8.06	0.37%
　　华视传媒 	5.85	1.56%
　　航美传媒 	6.82	4.92%
　　新华悦动传媒 	1.62	2.45%
　　永新视博 	7.43	2.91%
　　UT斯达康 	1.63	0.62%
　　展讯通信 	3.45	0.00%
　　亚信科技 	18.06	0.84%
　　中芯国际 	2.53	1.61%
　　中星微电子 	2.92	1.74%
　　炬力 	2.29	1.78%
　　侨兴环球 	1.94	-1.52%
　　德信无线 	2.6	-1.52%
　　无锡尚德 	15.79	-3.72%
　　文思信息 	14.28	1.64%
　　诺亚舟 	4.88	0.62%
　　中华网 	2.55	-1.92%
　　CDC软件 	9.39	-1.57%
　　侨兴移动 	2.67	-0.37%
　　国人通信 	4.7	2.62%

