美股周五持续上涨中国概念股涨跌互现
　　新浪科技讯 北京时间3月14日凌晨消息，美股周五连续第5个交易日上涨。美国商务部报告称 ，受到进出口需求全面大幅下滑影响，1月份美国贸易赤字降至6年新低。2月进口物价指数下跌了0.2%，平均进口石油价格上涨了3.9%，为7个月以来首次上涨。中国概念股今日在纳斯达克涨跌互现。
　　截至收盘，道琼斯工业平均指数上涨53.92点，报7223.92点，涨幅0.75%。标准普尔500指数上涨5.81点，报756.55点，涨幅0.32%。纳斯达克综合指数下跌6.16点，报1432.26点，涨幅0.43%。
　　中国概念股周五涨跌互现，其中，携程网大涨14.30%，上涨3.53美元，报收于28.21美元，侨兴环球大涨14.02%，上涨0.15美元，报收于1.22美元；UT斯达康则大跌10.26%，下跌 0.08美元，报收于0.70美元。 
　　股票 股价 涨跌幅 
　　新浪 21.020 0.380% 
　　网易 22.230 5.410% 
　　搜狐 48.430 0.730% 
　　百度 172.660 1.920% 
　　分众传媒 5.740 -7.270% 
　　盛大 36.310 3.450% 
　　巨人网络 7.360 -0.140% 
　　第九城市 11.610 3.380% 
　　完美时空 12.330 -0.880% 
　　携程网 28.210 14.300% 
　　金融界 9.150 -3.280% 
　　艺龙 5.700 1.790% 
　　前程无忧 6.720 1.820% 
　　掌上灵通 1.180 -0.840% 
　　空中网 5.030 0.400% 
　　华友世纪 1.120 8.210% 
　　易居中国 6.840 -3.390% 
　　如家快捷 9.140 3.040% 
　　新东方 47.010 1.180% 
　　正保远程教育 5.480 -2.070% 
　　华视传媒 5.200 -0.570% 
　　航美传媒 4.390 2.090% 
　　新华财经传媒 0.440 -2.220% 
　　永新视博 7.180 -0.550% 
　　UT斯达康 0.700 -10.260% 
　　展讯通信 0.890 5.950% 
　　亚信科技 13.430 0.520% 
　　中芯国际 1.700 -1.160% 
　　中星微电子 1.750 0.000% 
　　炬力 1.420 -1.390% 
　　侨兴环球 1.220 14.020% 
　　德信无线 1.190 0.000% 
　　无锡尚德 6.880 0.880% 
　　文思信息 4.850 -1.620% 
　　诺亚舟 3.280 4.460% 
　　中华网 0.910 -1.090% 


