中国概念股周三早盘几乎全线下跌
     新浪科技讯 美国东部时间9月17日(北京时间9月17日)消息，由于周一雷曼兄弟公司破产和美林公司被收购引发投资者对美国金融业的担忧，今日纽约股市开盘后三大股指均大幅下跌近3%。美股在周三上午大幅下跌，纳斯达克综合指数下跌了74.32点，至2133.58点，跌幅为3.37%，中国概念股几乎全线下跌。
    股票 股价 涨跌幅　　
    新浪 35.460 -6.070% 
　　网易 22.030 -0.940% 
　　搜狐 55.330 -3.840% 
　　百度 250.640 -5.950% 
　　分众传媒 22.460 -9.580% 
　　盛大网络 26.350 -3.230% 
　　巨人网络 7.490 -2.730% 
　　第九城市 16.830 -3.880% 
　　完美时空 21.580 -7.380% 
　　携程网 34.540 -6.800% 
　　金融界 11.320 -8.410% 
　　亿龙 6.930 -2.390% 
　　前程无忧 10.750 -2.710% 
　　灵通网 1.510 2.030% 
　　空中网 3.680 -3.410% 
　　华友世纪 2.680 -0.370% 
　　易居中国 7.610 -7.420% 
　　如家快捷 14.250 -0.900% 
　　新东方 67.590 -5.100% 
　　正保远程教育 3.490 -3.060% 
　　华视传媒 14.230 -3.720% 
　　航美传媒 8.540 -3.500% 
　　新华财经传媒 1.350 -4.930% 
　　永新视博 7.960 -6.460% 
　　UT斯达康 2.660 -8.290% 
　　展讯通信 3.030 -5.610% 
　　亚信 9.270 -0.430% 
　　中芯国际 1.870 -11.370% 
　　中星微 2.650 4.330% 
　　珠海炬力 2.700 -0.370% 
　　侨兴环球 2.420 -3.590% 
　　德信无线 0.990 -2.940% 
　　无锡尚德 37.290 -5.140% 
　　诺亚舟 4.200 -3.000% 
　　深圳迈瑞 33.920 -2.050% 
　　中华网投资集团 2.120 -2.750% 


