美股延续涨势中国概念股周二涨跌互现
　　新浪科技讯 北京时间7月29日早间消息，因7月消费者信心指数低于预期，美股周二未能延续近期的涨势，科技股的上涨带动纳指收高并限制了其它股指的跌幅。中国概念股涨跌互现，有两支股票涨幅超过10%，一支跌幅超过10%。
　　截至收盘，道琼斯工业平均指数下跌了11.79点，至9096.72点，跌幅为0.13%；纳斯达克综合指数上涨了7.62点，至1975.51点，涨幅为0.39%；标准普尔500指数下跌了2.56点，至979.62点，跌幅为0.26%。中国概念股涨跌互现，其中侨兴环球(NasdaqGS:XING)上涨10.85%，展讯通信(Nasdaq:SPRD)上涨23%，CDC(NasdaqGS:CHINA)下跌16.71%。
　　股票名称 最新价 涨跌幅
　　新浪 33.740 -0.380%
　　网易 41.700 1.240%
　　搜狐 62.050 5.040%
　　百度 351.110 -1.600%
　　分众传媒 8.680 -0.800%
　　盛大 49.690 -5.150%
　　巨人网络 7.980 -1.970%
　　畅游 38.680 1.340%
　　第九城市 8.610 3.110%
　　完美时空 34.300 -3.080%
　　携程网 48.370 -0.350%
　　金融界 12.150 -1.620%
　　艺龙 7.140 0.420%
　　前程无忧 11.740 2.180%
　　掌上灵通 2.480 1.220%
　　空中网 12.020 0.840%
　　华友世纪 3.790 1.070%
　　EJ 18.710 0.860%
　　如家快捷 17.090 -0.930%
　　新东方 69.750 -1.340%
　　正保远程教育 8.040 0.000%
　　华视传媒 6.610 0.150%
　　航美传媒 5.880 3.340%
　　新华悦动传媒 1.170 -6.400%
　　永新视博 8.700 1.190%
　　UT斯达康 1.740 1.750%
　　展讯通信 3.150 23.050%
　　亚信科技 17.930 -1.430%
　　中芯国际 2.850 1.790%
　　中星微电子 2.600 1.170%
　　炬力 2.240 0.000%
　　侨兴环球 2.350 10.850%
　　德信无线 2.400 -0.830%
　　无锡尚德 19.240 -5.960%
　　诺亚舟 4.780 2.360%
　　中华网 3.040 -16.710%

