中国概念股周三全线下跌 13只股票跌幅超5%
　　新浪科技讯 北京时间6月16日凌晨消息，周三美国股市大幅收跌。希腊违约风险增大，经济数据表明美国经济增长正在放缓，令市场承压。中国概念股全线下跌，13只股票跌幅超5%。其中，搜房网大跌10.01%报16.36美元；人人大跌9.07%报7.52美元再创新低；展讯通信大跌9.26%报13.48美元。
　　跌幅超5%的个股详情为：搜狐跌5.81%报67.72美元；中华网软件跌 5.14%报2.03美元；UT斯达康跌5.13%报1.48美元创52周新低；国人通信跌 5.53%报2.39美元；蓝汛通信跌 5.39%报7.20美元；优酷跌6.89%报27.00美元；当当跌5.51%报12.17美元；斯凯网络跌5.47%报6.05美元；网秦跌6.22%报4.37美元。
　　另外，4只个股跌幅超4%，分别是：百度下跌4.79%报118.84美元；完美时空跌4.40%报19.14美元；中芯国际跌4.41%报3.90美元；联游网络跌 4.35%报0.88美元。
　　美东时间6月15日16:00(北京时间6月16日04:00)，道琼斯工业平均指数下跌178.84点，收于11,897.27点，跌幅1.48%；纳斯达克综合指数下跌47.26点，收于2,631.46点，跌幅1.76%；标准普尔500指数下跌22.44点，收于1,265.43点，跌幅1.74%。今天盘中道指最多曾下跌超过212点。(飞宇)
　　股票　最新价　涨跌幅
　　新浪　86.88　-5.16%
　　CRIC　5.23　0.00%
　　网易　42.9　0.54%
　　搜狐　67.72　-5.81%
　　百度　118.84　-4.79%
　　分众传媒　27.11　-3.66%
　　盛大　36.2　-3.59%
　　盛大游戏　6.51　-1.36%
　　巨人网络　7.41　-0.80%
　　畅游　36.35　-0.71%
　　第九城市　5.2　-3.33%
　　完美世界　19.14　-4.40%
　　携程网　40.8　-1.92%
　　金融界　4.12　-0.48%
　　艺龙　19.02　0.16%
　　前程无忧　46.72　-3.31%
　　掌上灵通　0.89　-1.11%
　　空中网　5.19　3.59%
　　酷6传媒　2.86　0.00%
　　易居中国　7.58　-2.82%
　　华视传媒　2.83　2.17%
　　航美传媒　3.57　4.08%
　　永新视博　5.91　0.00%
　　UT斯达康　1.48　-5.13%
　　展讯通信　13.48　-9.26%
　　亚信科技　14.27　-2.99%
　　中芯国际　3.9　-4.41%
　　中星微电子　2.32　-1.69%
　　炬力　1.87　-3.61%
　　侨兴环球　1.46　-0.68%
　　德信无线　4.35　0.23%
　　文思信息　20.81　-3.57%
　　诺亚舟　2.15　2.38%
　　中华网　2.03　-5.14%
　　CDC软件　4.56　-0.39%
　　侨兴移动　2.52　-1.18%
　　国人通信　2.39　-5.53%
　　联游网络　0.88　-4.35%
　　BCD半导体　7.97　-0.62%
　　搜房网　16.36　-10.01%
　　蓝汛　7.2　-5.39%
　　高德软件　15.44　-0.19%
　　麦考林　2.85　-3.06%
　　优酷网　27　-6.89%
　　当当网　12.17　-5.51%
　　斯凯　6.05　-5.47%
　　软通动力　10.98　-2.75%
　　创博国际　2.25　2.27%
　　海辉软件　13.6　-0.73%
　　奇虎360　21.03　-3.00%
　　世纪互联　10.6　-1.39%
　　人人公司　7.52　-9.07%
　　网秦　4.37　-6.22%
　　世纪佳缘　9.96　0.40%
　　凤凰新媒体　11.15　-0.18%
　　淘米　9.48　-2.57%

