北京时间11月3日中国概念股最新价一览
　　中国概念股最新价一览
　　(截至北京时间11月3日16点01分)
　　美国股市 美元 涨跌额
　　新浪 38.65 +3.37%
　　CRIC 11.76 -7.47%
　　网易 37.69 -2.41%
　　搜狐 54.07 -2.75%
　　百度 376.00 -0.51%
　　分众传媒 12.32 +2.33%
　　盛大 45.20 +3.48%
　　盛大游戏 10.27 +3.11%
　　巨人网络 7.2 -0.27%
　　畅游 30.35 +0.73%
　　第九城市 7.82 +4.27%
　　完美时空 43.24 -1.75%
　　携程网 54.56 +1.91%
　　金融界 8.10 +0.87%
　　艺龙 11.90 -3.64%
　　前程无忧 15.34 +2.95%
　　掌上灵通 2.05 -1.91%
　　空中网 14.88 +11.04%
　　华友世纪 6.04 -0.66%
　　易居中国 17.63 +3.04%
　　如家快捷 27.50 +3.46%
　　新东方 67.90 -2.78%
　　正保远程教育 7.08 +1.14%
　　华视传媒 8.42 +0.72%
　　航美传媒 8.04 -2.78%
　　新华悦动传媒 1.16 -1.69%
　　永新视博 6.71 -1.32%
　　UT斯达康 1.73 -4.42%
　　展讯通信 5.48 -4.20%
　　亚信科技 22.49 +1.95%
　　中芯国际 2.48 +2.48%
　　中星微电子 3.50 -2.23%
　　炬力 2.45 +1.24%
　　侨兴环球 2.03 +8.56%
　　德信无线 3.05 -0.65%
　　无锡尚德 12.31 -2.84%
　　文思信息 15.02 -0.53%
　　诺亚舟 4.77 -0.42%
　　中华网 2.35 +0.86%
　　CDC软件 9.20 -5.54%
　　侨兴移动 3.79 +24.26%
　　国人通信 4.26 +6.23%
　　香港股市 港元 涨跌幅
　　阿里巴巴 17.84 -1.87%
　　腾讯控股 137.9 -3.63%
　　金山软件 7.31 -2.66%
　　慧聪网 0.56 +1.82%
　　TOM集团 0.59 +1.72%
　　A8电媒音乐 3.37 -0.59%

