全球前100名最佳投资网络VC：德丰杰居榜首
　　新浪科技讯 北京时间6月28日午间消息，据国外媒体报道，最近的一项报告根据风险投资者的网络化程度，评选出具备最佳网络的前100家风险投资商。
　　该报告认为，风险投资者的网络化程度越高，网络越好，投资回报率就越高。该报告指出，风险投资者的网络是与由其他与其进行联合投资的投资者所组成的。风险投资拥有的联合投资者越多，网络就越好。风险投资商的网络规模与回报率之间的关系，可以为其投资带来更好的交易流、人才、顾问、潜在客户和退出可能。
　　该报告对2006-2008年间为超过3300家创业公司提供融资支持的2700个投资者进行了分析，并根据网络化程度评分，评选出具备最佳网络的前100家风险投资商。请见下表：
　　1 德丰杰
　　2 红杉资本
　　3 accel-partners
　　4 英特尔投资
　　5 first-round-capital
　　6 dag-ventures
　　7 new-enterprise-associates
　　8 kleiner-perkins-caufield-byers
　　9 benchmark-capital
　　10 ron-conway
　　11 charles-river-ventures
　　12 高盛
　　13 红点投资
　　14 general-catalyst-partners
　　15 柏尚投资
　　16 index-ventures
　　17 khosla-ventures
　　18 reid-hoffman
　　19 sigma-partners
　　20 mayfield-fund
　　21 oak-investment-partners
　　22 norwest-venture-partners
　　23 lehman-brothers
　　24 greylock
　　25 highland-capital-partners
　　26 jafco-ventures
　　27 omidyar-network
　　28 fidelity-ventures
　　29 sap-ventures
　　30 venrock
　　31 marc-andreessen
　　32 lightspeed-venture-partners
　　33 roger-ehrenberg
　　34 foundation-capital
　　35 shasta-ventures
　　36 us-venture-partners
　　37 union-square-ventures
　　38 canaan-partners-3
　　39 atlas-venture
　　40 bay-partners
　　41 menlo-ventures
　　42 mohr-davidow-ventures
　　43 interwest-partners
　　44 globespan-capital-partners
　　45 trident-capital
　　46 steamboat-ventures
　　47 focus-ventures
　　48 atomico-investments
　　49 spark-capital
　　50 draper-richards
　　51 amadeus-capital-partners
　　52 greycroft-partners
　　53 allen-and-company
　　54 founders-fund
　　55 meritech-capital-partners
　　56 dcm
　　57 labrador-ventures
　　58 european-founders-fund
　　59 esther-dyson
　　60 jeff-clavier
　　61 3i-group
　　62 motorola-ventures
　　63 jeff-stewart
　　64 mission-ventures
　　65 cisco
　　66 time-warner-investments
　　67 comcast-interactive-capital
　　68 marc-benioff
　　69 martin-varsavsky
　　70 betaworks
　　71 polaris-venture-partners
　　72 trinity-ventures
　　73 bezos-expeditions
　　74 hummer-winblad-venture-partners
　　75 hearstcorporation
　　76 presidio-stx
　　77 y-combinator
　　78 sutter-hill-ventures
　　79 baseline-ventures
　　80 advanced-technology-ventures
　　81 wellington-partners
　　82 walden-international
　　83 granite-ventures
　　84 hercules-technology-growth
　　85 morgenthaler-ventures
　　86 northgate-capital
　　87 battery-ventures
　　88 scale-venture-partners
　　89 crescendo-ventures
　　90 emergence-capital-partners
　　91 azure-capital-partners
　　92 mike-maples
　　93 glg-partners
　　94 ariel-poler
　　95 vantagepoint-venture-partners
　　96 north-bridge-venture-partners
　　97 matrix-partners
　　98 bluerun-ventures
　　99 waldenvc
　　100 rustic-canyon-partners
　　(肖恩)

