陈兴强：明天谁将领涨大盘
　　陈兴强
　　周一两市均以红盘迎接8月的第一个交易日，热点全面扩散，从有色金属、煤炭石油、钢铁到化工化纤。在场外资金源源不断入市的推动下，股指一浪高过一浪。市场疑似出现恐慌性买入情绪，但凡前期涨幅较小的板块个股均有轮番表现的机会，股价上涨带来的恐慌性抛盘轻易地淹没恐慌性买盘的汪洋大海里。
　　近期各种分析文章提到通货膨胀之时，都喜欢加上“预期”这个限定词，但是现在通货膨胀还仅仅只是预期吗？从国家公布的统计数据上看，确实如此。但是更多的投资者却从自己的切身体验里实实在在感受到了通货膨胀。
　　预期也好，事实也罢，总之买股票风险固然存在，但是不买股票损失却是必然发生的事情，两害相权取其轻，这是目前越来越多投资者涌入市场的根本原因之一。
　　从6月初中央决策层到各地基层的密集调研至今，下半年的宏观调控的基调在这60天内已变得逐渐清晰：保持政策的稳定性和延续性，继续实施积极的财政政策和适度宽松的货币政策。在最新一期的《求是》杂志中，国务院副总理李克强发文表示，当前中国经济处于企稳向好的关键时期，应继续实施积极的财政政策和适度宽松的货币政策，全面落实和充实完善刺激经济的一揽子计划和相关政策措施。在此前不到40天的时间里，国务院总理温家宝更是5次强调实施积极的财政政策和适度宽松的货币政策，显示出决策层对这一问题的莫大关注。
　　在目前经济面、政策面、资金面对股市都比较有利的情况下，股指新高不断是件没有悬念的事情，唯一有悬念的是：明天谁将领涨大盘？
　　依然可以在有色、钢铁、煤炭、地产、银行、券商等几大权重板块里寻找。
　　始于07年10月的百万稳健模拟基金，目前持股待涨。(百万稳健模拟盘基金为上一交易日收盘价，为方便统计，其收盘价最后数字以四舍五入处理。)
　　名称          时间      成本价           持股数量  累计收益      收盘价
　　亨通光电      02.03     10.12(摊薄)     10000     120%           22.8
　　中天科技      02.03     9.75(摊薄)      10000     105%           20.6
　　南京银行      04.03     12.3元(摊薄)    20000     60%           19.9
　　中航地产      04.03     9.5元 (摊薄)    20000     50%           15.3
　　航天晨光      04.15     8.3               20000      20%           10
　　安源股份      04.16     6.9元             20000     80%           11.9
　　深圳华强      05.11     7.4               20000     55%            11.2
　　西宁特钢      06.11     8.3               20000     60%             13
　　东方创业      07.17     10.5              20000     12%              11.8
　　帐户总额：249.56万       现金：19.96万元    持股市值：229.6万 收益情况： 149.56%

