11月2日美股专家坐堂实录
　　新浪财经讯 11月2日，美股专家warren王做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
    匿名问：  	老师好我今天可是提前排队的·求您解答600596套了17.2的成本要割肉吗以及不好(2010-11-02 18:07:55)　　专家[warren王]答： 	你追?的?位太高了，?股向上空?不是很大，可以考?逢高跑路(2010-11-02 20:19:27)
　　匿名问： 	王老师，您好！首先感谢您对600054的指点！请教老师：短期支撑和压力是多少？再次感谢！谢谢！！！(2010-11-02 19:08:20)　　专家[warren王]答： 	?股目前仍然是整理走?，下?阻力在20.5附近(2010-11-02 20:03:11)
　　匿名问： 	王老师，您好！ 很喜欢您坐堂！A股的蓝筹股大涨(这波基本踏空了)，也不知买哪只合适。请老师推荐一只交易所交易的ETF基金(或者 510020，510180,159902,159903四只中选哪个好？)。万分感激！！！谢谢！！！(2010-11-02 19:26:13)　　专家[warren王]答： 	?一波上?之後，ETF也跟?大?有了不少的?幅，?其追?，不如介入有??需求的板?或者乾脆等大?回?之後再找??也不?(2010-11-02 20:01:29)
　　匿名问： 	王老师，今天晚上美国中期选举会出结果，星期四晚上12点以后的夜里2点半出美联储会议的结果，时间对吗？(2010-11-02 20:03:51)　　专家[warren王]答： 	今天是??，明天才?出?果，FOMC???要?在中????四凌晨2?半?布(2010-11-02 20:12:57)
　　匿名问： 	王老师您好！请问600111后市如何操作，谢谢！(2010-11-02 20:07:06)　　专家[warren王]答： 	?股一直很牛啊，不?目前可以考?逐步??了(2010-11-02 20:08:11)
　　匿名问： 	王老大好，云计算的600410追高了，指点下支撑和阻力位在哪了？多谢。另外600737中粮屯河走势如何？多谢！(2010-11-02 20:08:14)　　专家[warren王]答： 	410支?20.5，阻力23.46 737是突破走?，後市仍然可以?慎??(2010-11-02 20:38:56)
　　匿名问： 	How about CSCO, would it hit above $25. ? Thank you。(2010-11-02 20:12:30)　　专家[warren王]答： 	??阻力在24元附近，突破???走高(2010-11-02 20:17:52)
　　匿名问： 	王老师你好，UNG还能持有吗，支持点在那，还有DRYS 什么时候公布盈利，谢谢，(2010-11-02 20:14:37)　　专家[warren王]答： 	UNG的短期支?在前期低?5.2，DRYS下次季?是3??後(2010-11-02 20:22:21)
　　匿名问： 	Hi, Mr. Wang,How do you think TSM, HEAT, RRI? Thanks a lot. (2010-11-02 20:19:22)　　专家[warren王]答： 	TSM是突破走?，下?阻力在11.25. HEAT仍然是整理走?，短期阻力7.5 RRI整理走?，阻力在3.87元(2010-11-02 20:32:04)
　　匿名问： 	王老师为何跳过我的问题？:-( 今天rdn公布业绩开始盈利，pmi是否也可能一起走强？压力位多少？(2010-11-02 20:21:27)　　专家[warren王]答： 	??有一定的利好作用，不?PMI目前走??不好，下?支?2.8附近(2010-11-02 20:23:56)
　　匿名问： 	王老师，您看BAC是不是已经企稳，可以介入了？(2010-11-02 20:31:10)　　专家[warren王]答： 	?行股目前看走?已?作用不大了，最近可?“屋漏偏逢??雨，行船又遇???”。今天JPM被?查可能利空整?金融板?(2010-11-02 20:37:04)
　　匿名问： 	王老师，您好！ 帮我看看600360是不是短期头部了，是否卖出，谢谢！！(2010-11-02 20:34:38)　　专家[warren王]答： 	360在前期高?遇阻，短期支?9.7，突破10.91???走高(2010-11-02 20:41:16)
　　匿名问： 	WARREN 老师： 我是你的黄金会员，帮忙看一下000012, 谢谢。(2010-11-02 20:36:25)　　专家[warren王]答： 	0012是突破走?，後市有望??走高(2010-11-02 20:46:08)
　　匿名问： 	王大哥，之前不小心买入了BIOD，结果昨天大跌，这家公司不会面临倒闭吧？现在能不能补仓吗？请王大哥一定给点意见，非常非常感谢！(2010-11-02 20:45:20)　　专家[warren王]答： 	??股一定要注意?位，??股票都是消息面影?重大，新????果?於走?起著?定性的作用(2010-11-02 21:07:46)
　　匿名问： 	王老师你好，000338潍柴动力，成本86.50，后市还有潜力吗，压力位是多少啊？谢谢！！！！(2010-11-02 20:45:25)　　专家[warren王]答： 	盈利已?很多了，短期可以考??好就收了(2010-11-02 20:51:30)
　　匿名问： 	老大，你好！600561江西长运的升势还能延续吗？压力位是多少？000528柳工还能否继续持有呢？如果调整支撑在哪儿？谢谢！(2010-11-02 20:45:37)　　专家[warren王]答： 	561短期走??是不?的，0528有???象，?慎(2010-11-02 20:50:36)
　　匿名问： 	王老师，你好！中国联通怎么了一直滞涨啊，我还可以持有吗？(2010-11-02 20:46:00)　　专家[warren王]答： 	??股票一????子的，不?前期已?突破，?注5.43??阻力(2010-11-02 20:46:51)
