欧佩克原油周四涨0.54美元 报每桶85.81美元
　　新浪财经讯 北京时间11月12日下午消息，欧佩克网站信息显示，根据欧佩克秘书处的统计，欧佩克一揽子原油参考价格周四(11月11日)报每桶85.81美元，该价格周三(11月10日)为每桶85.27美元。
　　目前欧佩克一揽子油价12种组成成分包括：阿尔及利亚撒哈拉原油、安哥拉Girassol原油、厄瓜多尔Oriente原油、伊朗重质原油、伊拉克巴士拉轻质原油、科威特出口原油、利比亚Es Sider原油、尼日利亚博尼轻质原油、卡塔尔海上原油、沙特阿拉伯轻质原油、阿联酋穆尔班原油和委内瑞拉Merey原油。
　　欧佩克在成员国抱怨原有的一揽子价格夸大了产出价值后，制定了新的一揽子价格，给予高硫原油(价格相对较低)更高比重。
　　欧佩克于2005年1月30日取消了每桶22至28美元的官方价格区间，因为对全球稳定的担忧大幅推升油价，原来的价格区间规定已经不再合适。
　　以下为过去19个交易日的每日欧佩克一揽子原油参考价格表：    
　　11月11日   85.81美元/桶
　　11月10日   85.27美元/桶
　　11月9日   84.92美元/桶
　　11月8日   84.62美元/桶
　　11月5日   84.33美元/桶
　　11月4日   84.33美元/桶
　　11月3日   82.56美元/桶 
　　11月2日   81.90美元/桶   
　　11月1日   80.55美元/桶 
　　10月29日  79.42美元/桶 
　　10月28日  79.92美元/桶 
　　10月27日  79.19美元/桶 
　　10月26日  79.75美元/桶
　　10月25日  80.03美元/桶
　　10月22日  78.54美元/桶
　　10月21日  79.26美元/桶
　　10月20日  78.71美元/桶
　　10月19日  79.25美元/桶
　　10月18日  79.03美元/桶
　　

