3月12日美股专家坐堂实录
    3月12日，美股专家丁明?做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　网友［匿名］问：老师，请问花旗的走势怎样，适不适合长期持有？？？谢了！！！！！(2009－03－12 00：21：02)　　专家［丁明?］答：我会考虑长期持有但未必要在当下就进场大家晚上好(2009－03－12 00：21：02)
　　网友［匿名］问：丁先生非常抱歉再次打扰您，感谢您上次的解答，还是想请教一下您，新闻集团(NWS)的问题“我6.88购入的，还想购入一些，大概放个两三年，不知道这购票是否合适长线。Thanks a lot(2009－03－12 03：44：07)　　专家［丁明?］答：我认为NWS在价位上有长抱价值但行业本身及公司营??r则需要点时间来研究(2009－03－12 03：44：07)
　　网友［匿名］问：券商太凶残了。我买了100股股票，当时的价格是3.29。可买了一看价格已变成了3.35了。已被加了6分。后来我看到已经赢利了有25.36元。可卖出后却只有20元了。我算了一下。前后已被扣去了11.35元。只得到了50%也不到。你们是不是在吃人肉的？？？？？？？？为什么那么凶残？？？？？？？？？请解释！！！！(2009－03－12 16：25：23)　　专家［丁明?］答：建议您应该直接找券商理论(2009－03－12 16：25：23)
　　网友［匿名］问：丁老师你好：昨天我问你今天A股的走势，你预测的很准。我老感到A股近期要补跌，你认为会吗？(2009－03－12 19：01：46)　　专家［丁明?］答：我不认为是补跌是回档整理(2009－03－12 19：01：46)
　　网友［匿名］问：请问丁老师＾＾＾＾＾＾＾＾＾＾＾＾＾＾＾＾＾＾＾＾＾＾＾＾＾＾＾＾＾＾600499科达机电这段时间上窜下跳很厉害，上边有年线压力，今天12.5进的，你看有必要明天出么，，其下支撑在什么位置啊，麻烦看下(2009－03－12 20：58：01)　　专家［丁明?］答：有机会突破高点支撑在11.45(2009－03－12 20：58：01)
　　网友［匿名］问：请问BAC 9美金成本本次反弹能否解套，谢谢！(2009－03－12 21：01：08)　　专家［丁明?］答：难今年应该有机会(2009－03－12 21：01：08)
　　网友［匿名］问：丁老师请问下今天A股盘后市小涨一点，你对明天大盘走市怎么看谢谢(2009－03－12 21：07：25)　　专家［丁明?］答：我看涨但前题是今天美股不要跌太凶(2009－03－12 21：07：25)
　　网友［匿名］问：请问GE是否在突破60日均线再长期持有？新手(2009－03－12 21：10：42)　　专家［丁明?］答：我同意并再加上时间如突破后一个月(2009－03－12 21：10：42)
　　网友［匿名］问：老师能不能说说今天FTSE100和DOW的走势，刚刚一度猛涨现在又跌的很厉害，请一定回答，谢谢(2009－03－12 21：11：06)　　专家［丁明?］答：波动应该是受期货盘的影响等开盘后才能再见实际状况(2009－03－12 21：11：06)
　　网友［匿名］问：老师，intc可以持有吗，今天银行股可以进吗，哪个比较好(2009－03－12 21：12：56)　　专家［丁明?］答：我认为可以WFC较好(2009－03－12 21：12：56)
　　网友［匿名］问：丁老师您好，我今年1月进的002267，到现在还没有利润，请问按目前大盘趋势，是换股还是坚守？(2009－03－12 21：20：54)　　专家［丁明?］答：当初买进理由如果仍存在就坚守(2009－03－12 21：20：54)
　　网友［匿名］问：丁老师您好，600797已问了3晚，被套10个点，有否解套希望，支撑位是多少。请赐教，谢谢。(2009－03－12 21：25：16)　　专家［丁明?］答：可以考虑低档补仓(2009－03－12 21：25：16)
　　网友［匿名］问：您好，请问ETF有终止日期或清盘条件吗？比如前一段时间UYG跌的非常厉害，它可能退市吗？(2009－03－12 21：29：58)　　专家［丁明?］答：两者都有的但我认为UYG不会发生清盘情形(2009－03－12 21：29：58)
　　网友［匿名］问：老师，今天国会听证会计准则，对银行股有何影响，谢谢(2009－03－12 21：34：34)　　专家［丁明?］答：仍然是会计准则会影响好银行坏银行的认定我认为早日厘清可以扫除市场不确定的不安气氛(2009－03－12 21：34：34)
　　网友［匿名］问：丁老师，从月线的角度看，下个月，5月线即将上穿10月线，是否意味着在4月或5月，A股有一轮很好的行情。所以，现在的走势，不过是大主力在不断夯实底部。(2009－03－12 21：37：12)　　专家［丁明?］答：刚才看了一下好像和你看的很接近技术指标解释上是如此但目前市场气氛好像不易如我们所愿得这样发展(2009－03－12 21：37：12)
　　网友［匿名］问：丁老师，我已经提问好几天了请回答一次吧，请问兖州煤业在美国的ADR为啥要6美元多而香港才4.66港元？怎么算的？香港的兖州煤业现在价位可以长期持有吗？，谢谢(2009－03－12 21：37：29)　　专家［丁明?］答：我前两天已经答过了是会计上股本结构的差异港股我并清楚抱歉(2009－03－12 21：37：29)
　　网友［匿名］问：丁老师您好，请问在本论反弹中，金融服务类股票处于何种地位？HIG值得持有还是卖出？(2009－03－12 21：42：53)　　专家［丁明?］答：它的波动幅度较银行股缓和但仍旧受大盘影响无法幸免(2009－03－12 21：42：53)
　　网友［匿名］问：请问丁老师＾600635大众公用这段时间下跌比较多，今天8块进的，你看有必要明天出么，，其下支撑在什么位置啊，麻烦看下请问丁老师今天晚上可以得到你的回答呢(2009－03－12 21：43：41)　　专家［丁明?］答：建议留著应该不易再向下走(2009－03－12 21：43：41)
　　网友［匿名］问：您好老师：黄金还会延续强势吗？(2009－03－12 21：49：41)　　专家［丁明?］答：短期仍看多(2009－03－12 21：49：41)
　　网友［匿名］问：请给讲怎么美股开户，谢谢，国内在哪里能开户，(2009－03－12 22：08：17)　　专家［丁明?］答：网路上应有相关资讯(2009－03－12 22：08：17)
　　网友［匿名］问：丁老师，说说601168吧，谢谢(2009－03－12 22：14：23)　　专家［丁明?］答：挺看好的(2009－03－12 22：14：23)
　　网友［匿名］问：老师，您好！其实A股前天明显没受到美股影响，大家现在都认为等着A股票摊牌，但向上，有什么利好来支撑银行和地产走一段的行情呢，没有的话，有什么版块能带领大盘向上呢？所以这个位置还真矛盾，垃圾我是不会在这个位置再买入了。(2009－03－12 22：22：57)　　专家［丁明?］答：水泥地产类(2009－03－12 22：22：57)
　　网友［匿名］问：丁老师，您好！600117被套，今天上午想补仓又不敢，最后5.9元补的，追高了，请指点短期高抛低吸的价位？万分感激！(2009－03－12 22：34：27)　　专家［丁明?］答：￥5.4－－￥6.6(2009－03－12 22：34：27)
　　网友［匿名］问：老师你好！请教你，A股有些股票跌破年线，是不是已经走弱，近期不会走好？这些股票能不能买？谢谢(2009－03－12 22：36：12)　　专家［丁明?］答：弱势股还是建议不要碰(2009－03－12 22：36：12)
　　网友［匿名］问：你好！请教002182云海金属和002179中航光电您如何评价？002182云海金属最近疲弱明显，后市更不看好吧，短线的阻力在哪？中航光电好像较强，是否还有能力回到20以上？谢谢赐教！！！(2009－03－12 22：36：58)　　专家［丁明?］答：002179应该很有机会回20(2009－03－12 22：36：58)
　　网友［匿名］问：老师。我今天买的000568泸州老窖18.8的成本。其支撑位和压力为是多少。能做中期票票留吗？(2009－03－12 22：46：14)　　专家［丁明?］答：支撑恐在18之下压力应在20附近(2009－03－12 22：46：14)
