7月15日美股专家坐堂实录
　　7月15日，美股专家Warren王做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	Warren，我已出尽LONG的持仓，并买进第一批TZA，SDS，请问万一大盘不跌，我该在什么时候出场？THX(2010-07-15 06:44:58)　　专家[warren王]答： 	大家好！LONG的很大问题是成交量太少，TZA短期关注32.20的支撑点。SDS关注32.61的支撑，我很难说现在市场往哪里走，SPX注意1100的压力点吧，还有1080的支撑点。(2010-07-15 20:18:29)
　　匿名问： 	王老师，您好！中签了几手农行股(成本2.68)，今天未抛，后市如何操作？请指教。万分感激！！!(2010-07-15 20:00:53)　　专家[warren王]答： 	今天就涨两分，A股大盘短期有向下的风险，美股因为碰到第二季度业绩高峰，而且高科技业绩都很亮丽，INTC都创下历史上的营收高峰了，反观大陆A股市场，业绩和经济数据都不这么样，而且最近的宽松政策谣传被国家部委否认了，所以短期还是有继续下行的压力，美股可以还会撑住一下，同时今天的GDP数据显示(A股)，GDP下半年增长将减缓。(2010-07-15 20:22:55)
　　匿名问： 	王老大帮忙看看600127 啊，被套好多，谢谢！支持你(2010-07-15 20:12:43)　　专家[warren王]答： 	这股短期重返了下降通道，可能随大盘走低，支撑在6元附近。(2010-07-15 20:27:39)
　　匿名问： 	王老师好。美股已经七连阳，你看F是持有还是回调？谢谢(2010-07-15 20:27:10)　　专家[warren王]答： 	F暂时站上了200天线，这是个利好的信号，短期的压力在12.19附近。(2010-07-15 20:28:36)
　　匿名问： 	王老师，你好！可以分析下原油和橡胶走势吗？我的股票600395盘江股份和002073青岛软控今天都是大跌，目前被套，希望老师分析下走势和买卖点，谢谢！!(2010-07-15 20:32:44)　　专家[warren王]答： 	橡胶的图像似乎和铜的走势一样呀，我不做期货，我看原油，因为有时候买点油股，油价几乎没有什么大的波动，就是在区间震荡，橡胶和铜的价格，都和中国与美国经济关系很大，刚刚说了，中国经济的GDP数据在暗示下半年走软，要小心商品期货价格走低的风险，现在这类商品期货还有一个利好在支撑著，就是美元短期比较疲软。(2010-07-15 20:41:08)
　　匿名问： 	我的股票600395盘江股份和002073青岛软控今天都是大跌，目前被套，希望老师分析下走势和买卖点，谢谢！!((2010-07-15 20:43:09)　　专家[warren王]答： 	002073青岛软控：这股还是很强呀，我觉得从趋势来看，这股走的还是很不错的，不是你说的那种大跌，今天 600395盘江股份：21.51压力很短期，短期可能会下探最近的低@16附近。(2010-07-15 20:48:05)
　　匿名问： 	请问王老师 RIG 和 ERX 近期你觉得投资那只比较好一点， 这两只股票的压力位和支撑点大概在哪里， 是否值得投资， 1-2个礼拜可否会一定回报？(2010-07-15 20:46:21)　　专家[warren王]答： 	RIG在55的压力很重，这股现在还不适合介入，最好的机会已经过去了 ERX是三倍看好钻井股的ETF,我认为现在经济的情况不适合买这种高杠杆的ETF,还是保守点为好。(2010-07-15 20:50:35)
　　匿名问： 	王老师，你的博客每篇我都必读，并将其作为操作指导，今年以来你一直是正确的，点位差距不到3%，非常厉害。想请教的是，今晚我想空美股，怎么看，可以空到多少，而且你围脖(http://t.sina.com.cn)说你已清仓，更加强了我空美股的信心，请给点意见，谢谢(2010-07-15 20:50:24)　　专家[warren王]答： 	谢谢你的鼓励，我的意思是我空仓AAPL,我还持有相当的股票， 我认为等待是种美德，不去提前行动，或者比过早肯定的去提前交易为好，祝你交易成功。(2010-07-15 20:52:00)
　　匿名问： 	老大，神州泰岳和机器人将我套牢，继续持有？汉王科技呢，深度昏迷了，怎么办？(2010-07-15 20:52:32)　　专家[warren王]答： 	哈哈哈，深度昏迷，这个用词厉害。 汉王科技好像被苹果给打倒了，中国没有什么科技公司，和美国的差距在20年以上，我建议你不要碰中国科技公司，神州泰岳也能说科技公司吗？哈哈哈哈。 (2010-07-15 21:08:02)
　　匿名问： 	drys,stp您怎么看，目前微利，何时空仓？？？(2010-07-15 20:57:02)　　专家[warren王]答： 	DRYS前面已经分析过了 STP我认为还会涨到12.50-13区间，所以可以暂时持有下，不过盘中的波动还是很大的。(2010-07-15 21:10:05)
　　匿名问： 	老师 PMI你觉的压力是多少？ 谢谢(2010-07-15 20:57:50)　　专家[warren王]答： 	3.83-3.65是压力区间。(2010-07-15 21:05:41)
　　匿名问： 	王老师好，你看ge(成本15.06)后市如何操作？请指教。谢谢！(2010-07-15 20:59:59)　　专家[warren王]答： 	GE走势还是可能会补涨的，15.82是50天线压力点，这是个短期的压力点，GE更多的随银行股指数波动。(2010-07-15 21:20:25)
　　匿名问： 	王老师晚上好，GS应该继续持有吗？谢谢(2010-07-15 21:07:26)　　专家[warren王]答： 	GS突破141.22,也就是50天线压力，可能继续走高。(2010-07-15 21:17:41)
　　匿名问： 	王老师好，fuqi这么个小公司，没道理半年多审计不清楚的，这个公司会不会故意违反纳斯达克的规定，想退市呢？谢谢！(2010-07-15 21:08:42)　　专家[warren王]答： 	昨天涨了17%，可看下最近的8K(前天公布的)，如果退市的话，只要他老板厚道，还是可能在这价钱赚钱的，如果你有空看下天美钻在北京和上海的门店，还是有点料的，很特别的一点，这股的成交量还是很足的，相比很多中国概念股，流通性不错，很多中国概念股，没有量，都没有办法做，2元的股票，成交量就200,000万，这可不好玩的。(2010-07-15 21:13:14)
　　匿名问： 	王老师，你好！ How about FAS? I got it at$19.请问王老师该如何操作？多谢！(2010-07-15 21:11:03)　　专家[warren王]答： 	23.95是50天线压力，昨天几乎填补了缺口后，快速走高短期决定FAS压力的包括 1. 大盘的方向 2.C，JPM,BAC,GS等将公布或者已经公布的业绩结果。(2010-07-15 21:16:31)
　　匿名问： 	dear warren, how do you think AMD for short?(2010-07-15 21:13:06)　　专家[warren王]答： 	这股今天盘后要公布业绩。(2010-07-15 21:13:53)
　　[手机用户]问： 	:★601601今天尾盘21.01买入，好担心明天还能不能够本，保险股能买吗，最近资金流出很多。明天要不要先卖出呢？老师指点一下！！！(2010-07-15 21:21:25)　　专家[warren王]答： 	保险股最近受到万能人险的新规定，所以跌的很忙，这股不能碰，短期的支撑在20附近，(2010-07-15 21:24:20)
　　匿名问： 	600123兰花科创是不是下降通道啊！老大，怎么操作啊(2010-07-15 21:22:07)　　专家[warren王]答： 	这股在延续下跌通道，今天随大盘在走低。(2010-07-15 21:23:16)
　　匿名问： 	王老师您好， 请问您对银行股今天的看法， 还会涨吗？ C BAC 是走还是持有？ 谢谢(2010-07-15 21:23:33)　　专家[warren王]答： 	看大盘，还看业绩，大盘SPX突破1100,将到1130附近。市场永远会给出意外的走势的。以下是我围脖的链接，请关注我的及时观点 http://t.sina.com.cn/warrenwang2008?retcode=0(2010-07-15 21:32:53)

