6月24日美股专家坐堂实录
　　6月24日，美股专家aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	请问老师，dell私有化是个买入股票的机会吗？谢谢(2010-06-24 09:39:40)　　专家[aries高]答： 	我理解?中性消息，?目前走?看，也?有什麽太大的影?。(2010-06-24 21:41:05)
　　匿名问： 	老师好，今日美股经济数据，初审好于预期，但耐用品低于预期，美股今日走向如何？谢谢！(2010-06-24 20:38:39)　　专家[aries高]答： 	?前主要股指小幅低?，通???天的走?看，呈弱?的概率比?大。昨天有朋友?FAS的??，??澄清一下，因?FAS是ETF(基金)所以存在?止交易的可能，但是不是清零，而是?算，但是一般情?下不??生，即使?生也?提前很???有通知，所以建?可以?期持有，我所?的?期持有，可是不是十年二十年。(2010-06-24 21:29:05)
　　匿名问： 	高老师好！今天尾盘少量买了002386，心里不踏实，请教短期支撑和压力是多少？谢谢！谢谢！谢谢！！！(2010-06-24 21:09:06)　　专家[aries高]答： 	18.58位置是近期高?，??仍然是??底部的震?走?，支?16.35(2010-06-24 21:45:19)
　　匿名问： 	高老师，RINO昨天收盘前半个小时，突然涨了4%，是不是最近有反弹？(2010-06-24 21:15:28)　　专家[aries高]答： 	RINO????幅度很大，近期走?可能仍然?有反?，不?目前?人?得可以持有，有反???。(2010-06-24 21:30:32)
　　匿名问： 	高老师，请问stp短期会跌到那谢(2010-06-24 21:28:33)　　专家[aries高]答： 	8.43是近期支?。(2010-06-24 21:37:14)
　　匿名问： 	高老师，你好！请问C的支撑位是多少？现在可以介入吗？谢谢你！(2010-06-24 21:33:10)　　专家[aries高]答： 	C目前日?呈回落中，目前的?位已?可以考?，但是?有必要在下跌中急忙介入，支?3.55，迫近?位置可以考?介入。(2010-06-24 21:52:49)
　　匿名问： 	老师，我15块卖空CRUS，接下来怎么办？有机会解套吗？谢谢 (2010-06-24 21:42:20)　　专家[aries高]答： 	CRUS如果近期趁大???而回落的?，可以找??跑，放空??股很?占到便宜，短期做空就要?格?止?。(2010-06-24 22:14:49)
　　匿名问： 	fas可以进吗？谢谢！(2010-06-24 21:42:57)　　专家[aries高]答： 	FAS近期支?20.2附近，目前日?是跌?很有可能到??位置，逢低仍然可以考?，我?有逼著大家?，哈哈哈，免得?才那位朋友又?我?人子弟了。(2010-06-24 21:59:27)
　　匿名问： 	老师 PMI这几天为什么跌的这么厉害？我是3，9买的 还会回来这个位置吗？(2010-06-24 21:43:01)　　专家[aries高]答： 	PMI目前的走?是破位下跌，??股的波?很大，?人?得??股不合?大?位持有，但是感?趣，逢低可以?些，市?好的?候PMI就是很?。(2010-06-24 21:58:01)
　　匿名问： 	哈哈哈！！！！！高老师好！请帮我看分析一下600365，600386 谢谢啦！！！！(2010-06-24 21:44:59)　　专家[aries高]答： 	600365??走???，???支?12.88附近，?在A追高被套的??很大，不妨?注?????支?反?的?? 600386低位整理中，短期可??持??走?。(2010-06-24 22:03:22)
　　匿名问： 	fas如果高的价格了，并且银行情况并不好，告诉别人长期持有。是否欠考虑。并且你们所谓的专家害人不少。知识连一般的都没有。怎么会混在这里害人。新浪网太不应该。(2010-06-24 21:45:28)　　专家[aries高]答： 	???是?人??，我?有?你去?，作?成年人你??有自己的判?，??。(2010-06-24 21:54:36)
