恒生AH溢指微跌至98.77点
　　今日AH股指均收跌，沪指低开反弹受阻后震荡回落，午后跌幅进一步扩大；恒指受美股下跌而走弱，尾盘跌幅有所收窄。
　　沪指今日下跌，早盘大幅低开，经过短暂震荡后，随着地产板块的走强，在地产股的带动下，呈现出了一波强势反弹，股指随后出现回落调整，沪指再度回落至2,600点下方，午后股指低位震荡，沪指终以报收2,575.48点，下跌32.02点或1.23%，深成指报收10,680.02点，下跌126.61点或1.17%，两市成交额共计1,919.1亿元。
　　恒指今日先跌后回顺，恒指裂口低开255点后，之后跌幅扩大逾300点，最低曾跌至20,940，午后一度下试20.926，但其后中移动走高支撑大市，令大市尾市收复部分失地，恒指最高造21,124，最终全日收报21,105，跌188点或0.89%；国企指收跌140点或1.2%，收报11,597，成交额678亿元。
　　金融H股继续下跌，金融A股也受到一定拖累而走低，不过跌幅不及H股为大，令金融AH价差略为收窄，中信银行(601998-CN)跌1.74%，中信银行(0998-HK)则跌2.68%；中国银行(601988-CN)微升0.58%，中国银行(3988-HK)则跌1.23%。AH股中出现倒挂的个股有17只，其中A股较H股折价逾两成有7只。恒生AH股A指数跌1.36%，报1811.55；恒生AH股H指数跌1.21%，报1991.14。
　　中国石油(601857-CN)下跌1.25%，报收10.26元；中国石化(600028-CN)下跌1.21%；报收8.18元；中国神华(601088-CN)下跌2.43%，报收22.45元；中国联通(600050-CN)下跌1.34%，报收5.17元。
　　中国人寿(2628-HK)跌0.74%，工商银行(1398-HK)跌1.04%，建设银行(0939-HK)跌0.61%，中国石油(0857-HK)跌1.37%，中国石化(0386-HK)跌0.65%。
　　附今日收盘后AH股溢价率最小的十只个股∶
　　招商银行(600036-CN;3968-HK)-----(-26.79%)
　　中国人寿(601628-CN;2628-HK)-----(-26.47%)
　　海螺水泥(600585-CN;0914-HK)-----(-22.30%)
　　鞍钢股份(000898-CN;0347-HK)-----(-21.30%)
　　中国平安(601318-CN;2318-HK)-----(-20.71%)
　　工商银行(601398-CN;1398-HK)-----(-20.50%)
　　中国铁建(601186-CN;1186-HK)-----(-20.00%)
　　建设银行(601939-CN;0939-HK)-----(-19.90%)
　　交通银行(601328-CN;3328-HK)-----(-19.38%)
　　民生银行(600016-CN;1988-HK)-----(-17.98%)

