高管持股意图不明 机构大举做空中国平安
　　有分析称，目前市场处于一种“空头找做空理由”的状态，资金心态不稳定。从全天盘面的情况来看，中国平安全流通消息的公布明显刺激了闻“解禁”而色变的中国股民的神经。其次，从政策消息层面看，货币的收紧引发整个市场的弱势。(文会 俊萍发自北京 深圳)
　　附：中国平安今日交易数据(数据来源：上交所)
　　证券代码      证券简称      偏离值%        成交量        成交金额(万元)
　　(1)  601318      中国平安      -8.19%       163390810          732699.37
　　证券代码： 601318                           证券简称： 中国平安
　　买入营业部名称：                            累计买入金额(元)：
　　(1) 中国国际金融有限公司上海淮海中路证券营业部 318687979.32
　　(2) 申银万国证券股份有限公司上海新昌路营业部   169531104.03
　　(3) 机构专用                                   157864879.64
　　(4) 中信证券股份有限公司总部(非营业场所)       143480987.66
　　(5) 机构专用                                   139448461.02
　　卖出营业部名称：   累计卖出金额(元)：
　　(1) 机构专用                                   269759747.91
　　(2) 机构专用                                   221919522.47
　　(3) 机构专用                                   221700412.12
　　(4) 机构专用                                   213935378.02
　　(5) 机构专用                                   192855714.25

