恒生AH溢指跌2.02至98.08点 AH股遭遇重挫
　　沪深股市今日下挫，创14个月最大跌幅，两市早盘双双大幅低开，股指在开盘后略有反弹，随即便一路下行，沪指失守3,100点关口，不过盘中石化双雄再度雄起，沪指一度收复3,100点甚至强势翻红，但仅是昙花一现，股指再度跳水，午后有色、金融等权重板块轮番杀跌，沪指更失守3000点大关，最后，上证综指沪指报2,985.44点，下跌162.30点或5.16%，周跌幅4.16%；深成指报12,726.54点，下跌958.40点或7.00%，周跌幅7.33%，两市成交额共计5382元。
　　港股反复下挫，上午恒指随外围低开295点报24,404，甫开最低造24,312，其后有买盘承接，于中午前跌幅一度收窄近90点至24,608，但于中午再跌至近250点，午后受上海股市下泻4%拖累，恒指午后跌逾400点，最低造24,187，最终恒指全日收报24,222.58，跌477.72点或1.93%；国企指数跌424.89点或3.02%，收报13,663.14点，成交金额1,272亿元。
　　AH股中A和H股大幅下挫，在63只可比的AH中，A股全线下跌，H股也仅有1只上涨。由于美元的继续反弹、流动性收紧预期使得大量获利盘涌现，令市场出现深幅调整，煤炭、有色等资源类股乃至金融股全线下挫，值得一提的是，尽管伦敦铜价创出历史新高，但今日的江西铜业A和H股均出现下挫，分别挫8.85%、6.53%。AH股中出现倒挂的个股有20只，A股较H股折价两成个股增加至4只。恒生AH股A指数跌4.45%，报2062.69；恒生AH股H指数跌2.99%，报2351.60。
　　中国平安(601318-CN)下跌2.80%；中国人寿(601628-CN)下跌5.30%；建设银行(601939-CN)停牌；中国银行(601988-CN)下跌3.43%；工商银行(601398-CN)下跌1.89%；招商银行(600036-CN)下跌5.22%；交通银行(601328-CN)下跌5.99%。
　　中国人寿(2628-HK)跌2.22%，工商银行(1398-HK)跌3.08%，建设银行(0939-HK)跌3.76%，中国石油(0857-HK)跌2.29%，中国石化(0386-HK)跌2.77%。
　　附今日收盘后AH股溢价率最小的十只个股：
　　个股简称及代码-------------------AH溢价率
　　农业银行(601288-CN;1288-HK)-----(-25.99%)
　　招商银行(600036-CN;3968-HK)-----(-24.05%)
　　中国平安(601318-CN;2318-HK)-----(-22.12%)
　　交通银行(601328-CN;3328-HK)-----(-20.87%)
　　中国人寿(601628-CN;2628-HK)-----(-19.43%)
　　鞍钢股份(000898-CN;0347-HK)-----(-17.21%)
　　工商银行(601398-CN;1398-HK)-----(-17.16%)
　　建设银行(601939-CN;0939-HK)-----(-15.91%)
　　中国铁建(601186-CN;1186-HK)-----(-15.29%)
　　民生银行(600016-CN;1988-HK)-----(-14.38%)
　　

