3月1日美股专家坐堂实录
　　3月1日，美股专家warren王做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	按照做习俗：老师新年好！!!我的股票600096云天化(化肥)没有量，被深套，怎么办啊？谢谢老师教教我！!!(2010-03-01 20:20:52)　　专家[warren王]答： 	云天化?在是典型的??形?，耐心等待??行情的出?，支?在21.33(2010-03-01 21:15:41)
　　匿名问： 	老王，帮我看看000419,阻力位在哪？谢谢！!!!!!(2010-03-01 20:56:46)　　专家[warren王]答： 	阻力在9.72(2010-03-01 21:20:34)
　　匿名问： 	王老大，帮忙看看600888 啊！谢谢 ！ 能到多少？ 永远支持您！(2010-03-01 21:01:43)　　专家[warren王]答： 	?股你要注意前期高@21.37(2010-03-01 21:26:00)
　　匿名问： 	王老师你好！英镑大掉我们该抛掉所有股票还是买进黄金股？谢谢！(2010-03-01 21:03:41)　　专家[warren王]答： 	大家晚上好，最近索?斯等??英?可能?崩?，不?在我看?，如果?在去做空已?有?晚了?金?在?是整理行情，??有??出?。(2010-03-01 21:11:18)
　　匿名问： 	王老大，能否谈一下你对今年美国市场的看法？最近非常震荡，今年是否总体上是一个宽幅震荡的格局？谢谢。(2010-03-01 21:18:13)　　专家[warren王]答： 	?在的?值比?低，我在博客和?座中??，高科技股的?值和成?速度不成比例，短期是逢低??的??，?然今年的?幅明??低於去年。(2010-03-01 21:36:52)
　　匿名问： 	王老师你好！med 你看看压力和执掌位在哪？另能说个铂钯的ETF股吗？ 谢谢！(2010-03-01 21:19:56)　　专家[warren王]答： 	?是支小???股，?力在22.50(50天?)和前期高??力@23附近。(2010-03-01 21:34:10)
　　[手机用户]问： 	老师a股现在能做多吗？民生银行怎么了？压力在哪里？能买入吗？(2010-03-01 21:34:13)　　专家[warren王]答： 	A股?在大家都?心??成?性?大幅下滑，同?A股上???行?款增?和?少有相?大的??，今年是震?的行情。民生?行?在?是上下震?的行情，三角型形?十分明?，?力在8.34，支?在7元，供?考。(2010-03-01 21:43:47)
　　匿名问： 	你好老大，没想到今天看到你，春节前最后一天我曾问你600112的走势，你回答阻力位在17.48，支撑位在15.99，佩服，正好打到16，请你再看一下600112现在怎样？，好吗？(2010-03-01 21:42:26)　　专家[warren王]答： 	哈哈哈哈，是?。?股在15.51有?跳空缺口支?，是去年11月16日?候出?的，?股短期?是高位震?，今天的?形有??看，就?短?角度??察。(2010-03-01 21:47:40)
　　匿名问： 	王老师你好！能指点一下中国平安的压力点和支撑位吗？谢谢~(2010-03-01 21:43:59)　　专家[warren王]答： 	42.49??前期低的支??很重要，?然上周限售股消息???股打?很大，?天就跌了接近9%，不??股?在周??非常可能是?肩底的右肩。(2010-03-01 21:58:17)
　　匿名问： 	王老师，能帮忙分析一下GAME么，为什么一直跌呀(2010-03-01 21:46:48)　　专家[warren王]答： 	GAME的?子比?大，是2.28?，是????股中的大?股，所以市?短期很?消化，?在的PE在12附近，逐?吸引人，但是?是需要等待?股出???的升?，才可以考?介入，???望。(2010-03-01 21:51:53)
　　匿名问： 	Ms wang what do you think about palm? i bought at 6.40(2010-03-01 21:48:36)　　专家[warren王]答： 	PALM的??太高，他?最近?出了???警，而且在智慧手?行?，?售不好，我建??注AAPL(2010-03-01 21:55:32)
　　匿名问： 	王老师您好，最崇拜的就是您啦，哈哈！请问DRYS我5.6的成本，现在是继续持有吗？这个股票有前景吗？请您帮我分析分析，谢谢啊！(2010-03-01 21:51:44)　　专家[warren王]答： 	?股和油?的??密切，??我??可持有，周?是比??的震?整理?程。(2010-03-01 21:53:35)
　　匿名问： 	老大，分析下AAPL短期压力，谢谢(2010-03-01 21:52:17)　　专家[warren王]答： 	?力位置在215.59,也就是?史高位?。(2010-03-01 21:54:23)
　　匿名问： 	GAME业绩出来了，我看不错，现在盘前大跌12%，该价位能进吗？(2010-03-01 21:56:08)　　专家[warren王]答： 	??不能?，?表面?看，季/季的增?幅度?有有??的??。(2010-03-01 22:04:34)
