今日上市公司业绩公布备忘录
　　新浪财经讯 11月29日消息，多家香港上市公司发布公告，以下是其中重要交易提示。
　　代号 股票名称 业绩报告
　　00084 宝光实业 中期业绩
　　00105 凯联国际酒店 中期业绩
　　00126 达成集团 中期业绩
　　00130 慕诗国际 中期业绩
　　00172 金榜集团 中期业绩
　　00179 德昌电机控股 中期业绩
　　00202 国中控股 中期业绩
　　00204 泰润国际 中期业绩
　　00266 天德地产 中期业绩
　　00277 太兴置业 中期业绩
　　00306 冠忠巴士集团 中期业绩
　　00320 金宝通 中期业绩
　　00341 大家乐集团 中期业绩
　　00384 中国燃气 中期业绩
　　00406 有利集团 中期业绩
　　00450 鸿兴印刷集团 中期业绩
　　00451 森泰集团 中期业绩
　　00474 昊天能源集团 中期业绩
　　00476 中铜资源 中期业绩
　　00518 同得仕(集团) 中期业绩
　　00539 冠华国际控股 中期业绩
　　00558 力劲科技 中期业绩
　　00590 六福集团 中期业绩
　　00599 怡邦行控股 中期业绩
　　00621 永兴国际 中期业绩
　　00650 顺昌集团 中期业绩
　　00668 东星能源 中期业绩
　　00673 中国卫生控股 中期业绩
　　00684 亚伦国际 中期业绩
　　00690 联康生物科技集团 中期业绩
　　00723 永保林业 中期业绩
　　00736 中国置业投资 中期业绩
　　00789 雅天妮 中期业绩
　　00801 金卫医疗 中期业绩
　　00907 高雅国际 中期业绩
　　00910 中国林大 中期业绩
　　00923 福和集团 中期业绩
　　00959 奥玛仕控股 中期业绩
　　00973 L'OCCITANE 中期业绩
　　00985 中科矿业 中期业绩
　　00997 达艺控股 中期业绩
　　01050 嘉利国际 中期业绩
　　01124 沿海家园 中期业绩
　　01142 西伯利亚矿业 中期业绩
　　01170 信星集团 中期业绩
　　01182 中青基业 中期业绩
　　01226 嘉禹国际 中期业绩
　　01682 福源集团控股 中期业绩
　　02326 百灵达国际控股 中期业绩
　　02366 勤+缘媒体服务 末期业绩
　　02898 龙润茶 中期业绩
　　03998 波司登 中期业绩
　　

