今日上市公司业绩公布备忘录
　　新浪财经讯 07月16日消息，多家香港上市公司发布公告，以下是其中重要交易提示。
　　代号 股票名称 业绩报告
　　00037 远东酒店实业 末期业绩
　　00060 四洲食品 末期业绩
　　00147 超越集团 末期业绩
　　00207 侨福企业 末期业绩
　　00234 新世纪集团 末期业绩
　　00248 香港通讯国际控股 末期业绩
　　00252 华信地产财务 末期业绩
　　00259 亿都(国际控股) 末期业绩
　　00276 蒙古能源 末期业绩
　　00287 永发置业 末期业绩
　　00294 长江制衣 末期业绩
　　00374 四洲集团 末期业绩
　　00375 YGM贸易 末期业绩
　　00402 明兴水务 末期业绩
　　00498 保华集团 末期业绩
　　00577 保华建业 末期业绩
　　00645 港台集团 末期业绩
　　00711 俊和发展集团 末期业绩
　　00851 盛源控股 末期业绩
　　00852 海峡石油化工 末期业绩
　　00858 精优药业 末期业绩
　　00907 高雅国际 末期业绩
　　00919 现代美容 末期业绩
　　01131 广兴国际控股 末期业绩
　　02322 三和集团 末期业绩
　　02327 积华生物医药 末期业绩
　　08272 进能国际 末期业绩
   已有_COUNT_条评论  我要评论

