近日上市之认股权证
　　代号 名称 正股代码 购/沽 每手股数 行使价 上市日期
　　16480 恒指法兴九零九A HSI 认购  10,000 10000 17-03-2009
　　16481 恒指法兴九零九B HSI 认购  10,000 10800 17-03-2009
　　16482 长实法兴九零九购 00001 认购  10,000 58.55 17-03-2009
　　16483 中铁法兴九一零购 00390 认购  1,000 4.92 17-03-2009
　　16484 恒指法兴九零九C HSI 认沽  10,000 10600 17-03-2009
　　16485 恒指法兴九零九D HSI 认沽  10,000 11400 17-03-2009
　　16486 恒指法兴九零九E HSI 认沽  10,000 13000 17-03-2009
　　16487 中化比联九零九购 00386 认购  2,000 3.99 17-03-2009
　　16488 工行法兴九十二沽 01398 认沽  1,000 3.28 18-03-2009
　　16489 恒指麦银九十二D HSI 认购  10,000 12800 19-03-2009
　　16490 汇丰瑞信九零九购 00005 认购  4,000 39.88 19-03-2009
　　16491 汇丰瑞信九一零B 00005 认购  4,000 32.88 19-03-2009
　　16492 恒指麦银九零九沽 HSI 认沽  10,000 13600 19-03-2009
　　16493 恒指麦银九十二E HSI 认沽  10,000 11400 19-03-2009
　　16494 工行瑞信九零九沽 01398 认沽  1,000 2.68 19-03-2009
　　16495 汇丰德银九零九C 00005 认沽  4,000 28 19-03-2009
　　16496 汇丰比联九零九C 00005 认购  400 35 19-03-2009
　　16497 汇丰比联九一零D 00005 认购  400 30 19-03-2009
　　16498 汇丰比联九零九E 00005 认沽  400 28 19-03-2009
　　16499 汇丰比联九一零E 00005 认沽  400 35 19-03-2009
　　16500 汇丰比联九十一沽 00005 认沽  400 23.88 19-03-2009
　　16501 汇丰荷合九零九购 00005 认购  4,000 36 19-03-2009
　　16502 汇丰荷合九十一购 00005 认购  4,000 40 19-03-2009
　　16503 汇丰荷银九零九B 00005 认购  4,000 28 19-03-2009
　　16504 汇丰荷银九零九C 00005 认购  4,000 38.88 19-03-2009
　　16505 汇丰荷银九一零A 00005 认购  4,000 33.33 19-03-2009
　　16506 汇丰荷银九一零B 00005 认购  4,000 42.88 19-03-2009
　　16507 港交荷银零零一购 00388 认购  10,000 52 19-03-2009
　　16508 汇丰荷银九零九沽 00005 认沽  4,000 40 19-03-2009

