香港股市6月12日收盘个股成交量前20名
　　恒生指数6月12日收市报19,024.43点，涨233.4点或1.24%，成交总额453.7亿港元。
　　香港股市12日收盘二十大成交数量
　　股票代码 公司名称 收盘价(港元) 成交数量(千股)
　　08250 确思医药 0.036 881,160
　　00939 建设银行 5.69 699,472
　　00313 DICKSON GROUP 0.175 590,670
　　00651 和成国际 0.017 512,660
　　01398 工商银行 5.26 439,985
　　00544 大同集团 0.086 437,916
　　03988 中国银行 3.76 396,559
　　00648 中国仁济医疗 0.084 395,006
　　00690 联康生物科技集团 0.126 364,334
　　01215 开源控股 0.295 315,770
　　00736 中国置业投资 0.173 270,335
　　00419 华亿传媒 0.069 196,650
　　00152 深圳国际 0.55 169,705
　　00913 合一投资 0.096 158,590
　　01189 永安旅游 0.039 147,640
　　00370 国华 0.069 136,782
　　01041 福邦控股 0.032 131,734
　　00235 中策集团 0.255 131,390
　　00261 中建科技国际 0.012 129,480
　　00155 华基光电 0.152 128,400
　　资料来源：香港交易所

